"Seq","Name","Amount*","Remarks","Collection","Assign. No.","Date","Terms","Approval","Description","TS Status","Account No.","Cust PO","Status","Reference","Disc%","Freight*","Balance*","Due Date","Discount*","Type","Other*","Division","Aging","Past Due Status","Due Days","Charge Back No.","Salesperson","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Factor","Assign. Date","Reason","Ship-To","Cust ChgBack No.","Trail","Manifest","Rank","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"19","AS COOPER AND SONS","313.16","","No collection Info","000015","09/05/2013","NET 30","117285","","Shipped","AS0001","33960","Open","100167","  .00%","43.16","313.16","10/05/2013",".00","Invoice",".00","PB","143","121 to 150"," 30","","MC","08/13","","","","","","W","09/05/2013","","001419","","100167","G-090513","","09/05/13","UPSN-UNITED PAR","    36","     3","","313.16","  43.16",".00","","","","NJ","","",
"20","AS COOPER AND SONS","78.56","","No collection Info","000015","09/05/2013","NET 30","117285","","Shipped","AS0001","33965","Open","100168","  .00%","13.76","78.56","10/05/2013",".00","Invoice",".00","PB","143","121 to 150"," 30","","MC","08/13","","","","","","W","09/05/2013","","001419","","100168","G-090513","","09/05/13","UPSN-UNITED PAR","    12","     1","","78.56","  13.76",".00","","","","NJ","","",
"21","AS COOPER AND SONS","85.76","","No collection Info","000015","09/05/2013","NET 30","117285","","Shipped","AS0001","33966","Open","100169","  .00%","13.76","85.76","10/05/2013",".00","Invoice",".00","PB","143","121 to 150"," 30","","MC","08/13","","","","","","W","09/05/2013","","001419","","100169","G-090513","","09/05/13","UPSN-UNITED PAR","    12","     1","","85.76","  13.76",".00","","","","NJ","","",
"22","AS COOPER AND SONS","288.00","LINE 000007 VOIDED.  (STYLE 4096002)","No collection Info","","09/13/2013","NET 30","117285.","","Cancelled","AS0001","33959","Open","100274","  .00%",".00","288.00","10/13/2013",".00","Invoice",".00","PB","135","121 to 150"," 30","","MC","08/13","","","","","","W","","","001419","","100274","","","  /  /","FEDEX GROUND","     0","     0","",".00","    .00","288.00","","","Voided Line 000007 Voided Line 000006","NJ","","",
"23","AS COOPER AND SONS","216.00","LINE 000155 VOIDED.  (STYLE 2093206)","No collection Info","","09/25/2013","NET 30","117285","","Cancelled","AS0001","33958","Open","100557","  .00%",".00","216.00","10/25/2013",".00","Invoice",".00","PB","123","121 to 150"," 30","","MC","08/13","","","","","","W","","","001419","","100557","","","  /  /","UPSN-UNITED PAR","     0","     0","",".00","    .00","216.00","","","Voided Line 000155 Voided Line 000154","NJ","","",
"24","AS COOPER AND SONS","306.00","LINE 00002D VOIDED.  (STYLE 6096003)","No collection Info","","09/25/2013","NET 30","117285","","Cancelled","AS0001","33960","Open","100558","  .00%",".00","306.00","10/25/2013",".00","Invoice",".00","PB","123","121 to 150"," 30","","MC","08/13","","","","","","W","","","001419","","100558","","","  /  /","USPS","     0","     0","",".00","    .00","306.00","","","Voided Line 00002D Voided Line 00002C","NJ","","",
"25","AS COOPER AND SONS","100.80","LINE 000158 VOIDED.  (STYLE 1093215)","No collection Info","","09/25/2013","NET 30","117285","","Cancelled","AS0001","33964","Open","100559","  .00%",".00","100.80","10/25/2013",".00","Invoice",".00","PB","123","121 to 150"," 30","","MC","08/13","","","","","","W","","","001419","","100559","","","  /  /","CALL TO ROUTE","     0","     0","",".00","    .00","100.80","","","Voided Line 000158","NJ","","",
"26","AS COOPER AND SONS","100.80","LINE 000159 VOIDED.  (STYLE 1093217)","No collection Info","","09/25/2013","NET 30","117285","","Cancelled","AS0001","33964","Open","100560","  .00%",".00","100.80","10/25/2013",".00","Invoice",".00","PB","123","121 to 150"," 30","","MC","08/13","","","","","","W","","","001419","","100560","","","  /  /","CALL TO ROUTE","     0","     0","",".00","    .00","100.80","","","Voided Line 000159","NJ","","",
"27","AS COOPER AND SONS","144.00","LINE 00005I VOIDED.  (STYLE 9892536)","No collection Info","","09/25/2013","NET 30","117285","","Cancelled","AS0001","ABS","Open","100561","  .00%",".00","144.00","10/25/2013",".00","Invoice",".00","PB","123","121 to 150"," 30","","MC","08/13","","","","","","W","","","001419","","100561","","","  /  /","USPS","     0","     0","",".00","    .00","144.00","","","Voided Line 00005I","NJ","","",
"28","AS COOPER AND SONS","864.00","LINE 0001N4 VOIDED.  (STYLE 1093273)","No collection Info","","09/25/2013","NET 30","117285","","Cancelled","AS0001","33969","Open","100568","  .00%",".00","864.00","10/25/2013",".00","Invoice",".00","PB","123","121 to 150"," 30","","MC","08/13","","","","","","W","","","001419","","100568","","","  /  /","USPS","     0","     0","",".00","    .00","864.00","","","Voided Line 0001N4 Voided Line 00004U Vo","NJ","","",
"29","AS COOPER AND SONS","144.00","LINE 00005K VOIDED.  (STYLE 9892540)","No collection Info","","09/25/2013","NET 30","117285","","Cancelled","AS0001","ABS","Open","100569","  .00%",".00","144.00","10/25/2013",".00","Invoice",".00","PB","123","121 to 150"," 30","","MC","08/13","","","","","","W","","","001419","","100569","","","  /  /","USPS","     0","     0","",".00","    .00","144.00","","","Voided Line 00005K","NJ","","",
"30","AS COOPER AND SONS","144.00","LINE 000008 VOIDED.  (STYLE 4092310)","No collection Info","","09/25/2013","NET 30","117285","","Cancelled","AS0001","33959","Open","100615","  .00%",".00","144.00","10/25/2013",".00","Invoice",".00","PB","123","121 to 150"," 30","","MC","08/13","","","","","","W","","","001419","","100615","","","  /  /","FEDEX GROUND","     0","     0","",".00","    .00","144.00","","","Voided Line 000008","NJ","","",
"31","AS COOPER AND SONS","153.00","LINE 00002E VOIDED.  (STYLE 6092310)","No collection Info","","09/25/2013","NET 30","117285","","Cancelled","AS0001","33960","Open","100616","  .00%",".00","153.00","10/25/2013",".00","Invoice",".00","PB","123","121 to 150"," 30","","MC","08/13","","","","","","","","","001419","","100616","","","  /  /","FEDEX GROUND","     0","     0","","153.00","    .00",".00","","","Voided Line 00002E","NJ","","",
"32","AS COOPER AND SONS","774.00","LINE 0001N3 VOIDED.  (STYLE 4093308)","No collection Info","","09/25/2013","NET 30","117285","","Cancelled","AS0001","33963","Open","100618","  .00%",".00","774.00","10/25/2013",".00","Invoice",".00","PB","123","121 to 150"," 30","","MC","08/13","","","","","","W","","","001419","","100618","","","  /  /","FEDEX GROUND","     0","     0","",".00","    .00","774.00","","","Voided Line 0001N3 Voided Line 000157 Vo","NJ","","",
"33","AMAZON.COM","10,535.00","","No collection Info","","08/09/2013","NET 60","NONE","","Shipped","AZ0001","Z9940408","Open","100093","  .00%",".00","10,535.00","10/08/2013",".00","Invoice",".00","PB","140","121 to 150"," 60","","EE","08/13","","","","","","W","","","000020","","100093","G38","","08/09/13","VENDOR PORTAL","   770","    71","127228","10,535.00","    .00",".00","","","","KY","","",
"34","AMAZON.COM","6,120.00","","No collection Info","","10/18/2013","","","","Shipped","AZ0001","W4598412","Open","100715","  .00%",".00","6,120.00","12/17/2013",".00","Invoice",".00","PB","70","61 to 90"," 60","","EE","08/13","","","","","","W","","","AMZBLK","","100715","G181","","10/18/13","VENDOR PORTAL","   612","    51","","6,120.00","    .00",".00","","465588","","KY","","",
"35","AMAZON.COM","8,610.00","","No collection Info","","10/30/2013","","356298","","Shipped","AZ0001","V2715346","Open","100791","  .00%",".00","8,610.00","12/29/2013",".00","Invoice",".00","PB","58","31 to 60"," 60","","EE","10/13","","","","","","W","","","AZOHFC","","100791","D237","","10/30/13","VENDOR PORTAL","   540","    45","150879","8,610.00","    .00",".00","","","","KY","","",
"36","AMAZON.COM","20,088.00","","No collection Info","","11/04/2013","","","","Shipped","AZ0001","V4908364","Open","101004","  .00%",".00","20,088.00","01/04/2014",".00","Invoice",".00","PB","52","31 to 60"," 60","","EE","10/13","","","","","","W","","","000020","","101004","G243","","11/01/13","VENDOR PORTAL","  1188","   135","152803","20,088.00","    .00",".00","","","","KY","","",
"37","AMAZON.COM","26,424.00","","No collection Info","","11/15/2013","","","","Shipped","AZ0001","V8439894","Open","100790","  .00%",".00","26,424.00","01/15/2014",".00","Invoice",".00","PB","41","31 to 60"," 60","","EE","10/13","","","","","","W","","","AMZBLK","","100790","G273","","11/15/13","VENDOR PORTAL","  1536","   128","","26,424.00","    .00",".00","","150878","","KY","","",
"38","AMAZON.COM","10,980.00","","No collection Info","000130","01/02/2014","NET 60","593374","","Shipped","AZ0001","X0477824","Open","101353","  .00%",".00","10,980.00","03/03/2014",".00","Invoice",".00","PB","","Current"," 60","","EE","12/13","","","","","","W","01/06/2014","","AMZBLK","","101353","G333","","01/02/14","VENDOR PORTAL","  1464","   122","170656","10,980.00","    .00",".00","","","","KY","","",
"39","AMAZON.COM","6,857.28","","No collection Info","000130","01/02/2014","NET 60","820764","","Shipped","AZ0001","X3333154","Open","101354","  .00%",".00","6,857.28","03/03/2014",".00","Invoice",".00","PB","","Current"," 60","","EE","12/13","","","","","","W","01/06/2014","","AMZBLK","","101354","G333","","01/02/14","VENDOR PORTAL","   972","    81","170656","6,857.28","    .00",".00","","","","KY","","",
"40","AMAZON.COM","11,054.40","","No collection Info","000130","01/02/2014","NET 60","825141","","Shipped","AZ0001","Z0008780","Open","101355","  .00%",".00","11,054.40","03/03/2014",".00","Invoice",".00","PB","","Current"," 60","","EE","12/13","","","","","","W","01/06/2014","","AMZBLK","","101355","G333","","01/02/14","VENDOR PORTAL","  1032","    86","170656","11,054.40","    .00",".00","","","","KY","","",
"41","BAMBI BABY STORE","231.24","","No collection Info","","08/29/2013","CBD","NONE","","Shipped","BA0001","071813","Open","100049","  .00%","42.24","231.24","08/29/2013",".00","Invoice",".00","PB","180","Over 150","  0","","EE","08/13","","","","","","","","","BA0001","","100049","G-082813","","08/28/13","","    36","     3","","231.24","  42.24",".00","","","","NJ","","",
"42","BIG AL'S DEPARTMENT","127.80","","No collection Info","000178","02/20/2014","1% 10 EOM + 30","781638","","Shipped","BB0001","608727","Open","101489"," 1.00%",".00","127.80","03/10/2014","1.28","Invoice",".00","PB","","Current","  0","","EE","01/14","","","","","","W","02/24/2014","","BB0001","","101489","G395","","02/20/14","WRAGTIME","    24","     2","02-1168865","127.80","    .00",".00","","","","NY","","",
"43","BAMBI DE HUMACAO INC","3,758.40","","No collection Info","","01/28/2014","NET 30","530465","","Open","BD0001","5105","Open","101490","  .00%",".00","3,758.40","02/27/2014",".00","Invoice",".00","PB","","Current"," 30","","BB","01/14","","","","","","W","","","BD0001","","101490","","","  /  /","CALL TO ROUTE","   648","    54","","3,758.40","    .00",".00","","","","PR","","",
"44","BAMBI DE HUMACAO INC","676.80","","No collection Info","000143","01/29/2014","NET 30","530465","","Shipped","BD0001","5105","Open","101406","  .00%","120.00","676.80","02/28/2014",".00","Invoice",".00","PB","","Current"," 30","","BB","01/14","","","","","","W","01/30/2014","","BD0001","","101406","G358","","01/29/14","CALL TO ROUTE","    96","     8","173608","676.80"," 120.00",".00","","","","PR","","",
"45","BERGEN KIDS LLC #32","131.58","","No collection Info","000116","12/09/2013","NET 10 EOM + 30","783667","","Shipped","BE0001","16879","Open","101174","  .00%","47.58","131.58","01/30/2014",".00","Invoice",".00","PB","26","1 to 30"," 20","","EE","12/13","","","","","","W","12/17/2013","","BE0001","","101174","G303","","12/09/13","CALL TO ROUTE","    24","     2","MULTI","131.58","  47.58",".00","","","","NJ","","",
"46","BATH AND LINENS OF S",".00","LINE 00031Q VOIDED.  (STYLE 9892538)","No collection Info","","10/25/2013","NET 30","380463","","Open","BH0001","81413","Open","100986","  .00%",".00",".00","11/24/2013",".00","Invoice",".00","PB","93","91 to 120"," 30","","EE","10/13","","","","","","W","","","BH0001","","100986","","","  /  /","FEDEX GROUND","     0","     0","",".00","    .00",".00","","","Voided Line 00031Q","NY","","",
"47","BIG LOTS STORES INC","6,208.32","","No collection Info","000059","10/03/2013","NET 60","214462","","Shipped","BI0001","83365258","Open","100220","  .00%",".00","6,208.32","12/02/2013",".00","Invoice",".00","PB","85","61 to 90"," 60","","JB","08/13","","","","","","W","10/09/2013","","001690","","100220","G99","","10/03/13","CALL TO ROUTE","  2784","   232","135418","6,208.32","    .00",".00","","","","AL","","",
"48","BLOOMINGDALES INC","12,852.00","","No collection Info","","11/04/2013","2% NET 10 EOM","410161","","Shipped","BL0002","BABYTOGS-3637407","Open","100960"," 2.00%",".00","12,852.00","12/10/2013","257.04","Invoice",".00","PB","77","61 to 90","  0","","AF","10/13","","","","","","","","","BBTOGS","","100960","G241","","11/04/13","CALL TO ROUTE","   360","    45","","12,852.00","    .00",".00","","557841387678","","OH","","",
"49","BLOOMINGDALES INC","11,544.00","","No collection Info","","12/02/2013","2% NET 10 EOM","","","Shipped","BL0002","BABYTOGS-BULK","Open","100959","  .00%",".00","11,544.00","01/10/2014",".00","Invoice",".00","PB","46","31 to 60","  0","","AF","10/13","","","","","","","","","000369","","100959","G293","","12/02/13","CALL TO ROUTE","   328","    41","161709","11,544.00","    .00",".00","","0466981","","OH","","",
"50","BEN ELIAS INDUSTRIES","2,496.00","SHIPPED ON 07/19. GCT REF # 125397.","No collection Info","000092","11/05/2013","NET 30","215375","","Shipped","BN0001","124787","Open","101071","  .00%",".00","2,496.00","12/05/2013",".00","Invoice",".00","PB","82","61 to 90"," 30","","JB","11/13","","","","","","W","11/11/2013","","BN0001","","101071","G00","","08/20/13","CALL TO ROUTE","   624","    52","","2,496.00","    .00",".00","","","","NY","","",
"51","BEN ELIAS INDUSTRIES","5,217.75","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29018","Open","101111","  .00%",".00","5,217.75","12/13/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101111","G277","","11/13/13","CALL TO ROUTE","   773","   773","","5,217.75","    .00",".00","","","","NY","","",
"52","BEN ELIAS INDUSTRIES","22,349.25","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29018-1","Open","101112","  .00%",".00","22,349.25","12/13/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101112","G277","","11/13/13","CALL TO ROUTE","  3311","  3311","","22,349.25","    .00",".00","","","","NY","","",
"53","BEN ELIAS INDUSTRIES","2,902.50","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29020","Open","101113","  .00%",".00","2,902.50","12/13/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101113","G277","","11/13/13","CALL TO ROUTE","   430","   430","","2,902.50","    .00",".00","","","","NY","","",
"54","BEN ELIAS INDUSTRIES","6,567.75","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29022","Open","101115","  .00%",".00","6,567.75","12/13/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101115","G277","","11/13/13","CALL TO ROUTE","   973","   973","","6,567.75","    .00",".00","","","","NY","","",
"55","BEN ELIAS INDUSTRIES","34,539.75","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29022-1","Open","101116","  .00%",".00","34,539.75","12/13/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101116","G277","","11/13/13","CALL TO ROUTE","  5117","  5117","","34,539.75","    .00",".00","","","","NY","","",
"56","BEN ELIAS INDUSTRIES","4,569.75","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29024","Open","101117","  .00%",".00","4,569.75","12/13/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101117","G277","","11/13/13","CALL TO ROUTE","   677","   677","","4,569.75","    .00",".00","","","","NY","","",
"57","BEN ELIAS INDUSTRIES","8,829.00","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29024-1","Open","101118","  .00%",".00","8,829.00","12/13/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101118","G277","","11/13/13","CALL TO ROUTE","  1308","  1308","","8,829.00","    .00",".00","","","","NY","","",
"58","BEN ELIAS INDUSTRIES","600.75","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29026-1","Open","101119","  .00%",".00","600.75","12/13/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101119","G277","","11/13/13","CALL TO ROUTE","    89","    89","","600.75","    .00",".00","","","","NY","","",
"59","BEN ELIAS INDUSTRIES","229.50","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29028","Open","101120","  .00%",".00","229.50","12/13/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101120","G277","","11/13/13","CALL TO ROUTE","    34","    34","","229.50","    .00",".00","","","","NY","","",
"60","BEN ELIAS INDUSTRIES","36,281.25","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29028-1","Open","101121","  .00%",".00","36,281.25","12/13/2013",".00","Invoice",".00","PB","74","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101121","G277","","11/13/13","CALL TO ROUTE","  5375","  5375","","36,281.25","    .00",".00","","","","NY","","",
"61","BEN ELIAS INDUSTRIES","19,448.00","","No collection Info","000110","11/15/2013","NET 30","663371","","Shipped","BN0001","E 29050","Open","101070","  .00%",".00","19,448.00","12/15/2013",".00","Invoice",".00","PB","72","61 to 90"," 30","","AF","11/13","","","","","","W","12/03/2013","","BN0001","","101070","G272","","11/15/13","CALL TO ROUTE","  2992","  2992","154493","19,448.00","    .00",".00","","","","NY","","",
"62","BEN ELIAS INDUSTRIES","12,690.00","","No collection Info","000102","11/20/2013","NET 30","663369","","Shipped","BN0001","E 29020-1","Open","101114","  .00%",".00","12,690.00","12/20/2013",".00","Invoice",".00","PB","67","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101114","G277","","11/13/13","CALL TO ROUTE","  1880","  1880","","12,690.00","    .00",".00","","","","NY","","",
"63","BEN ELIAS INDUSTRIES","357.95","","No collection Info","000110","11/21/2013","NET 30","663369","","Shipped","BN0001","E 29026","Open","101122","  .00%","54.20","357.95","12/21/2013",".00","Invoice",".00","PB","66","61 to 90"," 30","","AF","11/13","","","","","","W","12/03/2013","","BN0001","","101122","G286","","11/21/13","VENDOR PORTAL","    45","    45","1Z1VV5130340301","357.95","  54.20",".00","","","","NY","","",
"64","BABY ONE","792.37","","No collection Info","","11/07/2013","NET 30","NONE","","Shipped","BO0001","NO91913","Open","100977","  .00%","78.37","792.37","11/07/2013",".00","Invoice",".00","PB","110","91 to 120","  0","","BZ","10/13","","","","","","","","","BO0001","","100977","G258","","11/07/13","FEDEX","    48","     4","","792.37","  78.37",".00","","557841389100","","LA","","",
"65","BOSCOVS","210.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101268","  .00%",".00","210.00","01/26/2014",".00","Invoice",".00","PB","30","1 to 30"," 30","","AF","12/13","","","","","","W","12/26/2013","","000434","","101268","G323","","12/26/13","GREAT CENTRAL T","    60","     5","168746","210.00","    .00",".00","000024","","","PA","","",
"66","BOSCOVS","210.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101269","  .00%",".00","210.00","01/26/2014",".00","Invoice",".00","PB","30","1 to 30"," 30","","AF","12/13","","","","","","W","12/26/2013","","002530","","101269","G323","","12/26/13","GREAT CENTRAL T","    60","     5","168746","210.00","    .00",".00","000024","","","PA","","",
"67","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101270","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","30","1 to 30"," 30","","AF","12/13","","","","","","W","12/26/2013","","002532","","101270","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","","",
