"Seq","Status","Account No.","Name","Type","Reference","Amount*","Freight*","Disc%","Discount*","Other*","Balance*","Terms","Salesperson","Date","Factor","Division","Aging","Past Due Status","Due Days","Due Date","Charge Back No.","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Assign. No.","Assign. Date","Reason","Description","Collection","Cust PO","Ship-To","Approval","Cust ChgBack No.","Remarks","Trail","Manifest","Rank","TS Status","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"32","Open","AS0001","AS COOPER AND SONS","Invoice","100558","306.00",".00","  .00%",".00",".00","306.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33960","001419","117285","","LINE 00002D VOIDED.  (STYLE 6096003)","100558","","","Cancelled","  /  /","USPS","     0","     0","",".00","    .00","306.00","","","Voided Line 00002D Voided Line 00002C","NJ","","",
"33","Open","AS0001","AS COOPER AND SONS","Invoice","100559","100.80",".00","  .00%",".00",".00","100.80","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33964","001419","117285","","LINE 000158 VOIDED.  (STYLE 1093215)","100559","","","Cancelled","  /  /","CALL TO ROUTE","     0","     0","",".00","    .00","100.80","","","Voided Line 000158","NJ","","",
"34","Open","AS0001","AS COOPER AND SONS","Invoice","100560","100.80",".00","  .00%",".00",".00","100.80","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33964","001419","117285","","LINE 000159 VOIDED.  (STYLE 1093217)","100560","","","Cancelled","  /  /","CALL TO ROUTE","     0","     0","",".00","    .00","100.80","","","Voided Line 000159","NJ","","",
"35","Open","AS0001","AS COOPER AND SONS","Invoice","100561","144.00",".00","  .00%",".00",".00","144.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","ABS","001419","117285","","LINE 00005I VOIDED.  (STYLE 9892536)","100561","","","Cancelled","  /  /","USPS","     0","     0","",".00","    .00","144.00","","","Voided Line 00005I","NJ","","",
"36","Open","AS0001","AS COOPER AND SONS","Invoice","100568","864.00",".00","  .00%",".00",".00","864.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33969","001419","117285","","LINE 0001N4 VOIDED.  (STYLE 1093273)","100568","","","Cancelled","  /  /","USPS","     0","     0","",".00","    .00","864.00","","","Voided Line 0001N4 Voided Line 00004U Vo","NJ","","",
"37","Open","AS0001","AS COOPER AND SONS","Invoice","100569","144.00",".00","  .00%",".00",".00","144.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","ABS","001419","117285","","LINE 00005K VOIDED.  (STYLE 9892540)","100569","","","Cancelled","  /  /","USPS","     0","     0","",".00","    .00","144.00","","","Voided Line 00005K","NJ","","",
"38","Open","AS0001","AS COOPER AND SONS","Invoice","100615","144.00",".00","  .00%",".00",".00","144.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33959","001419","117285","","LINE 000008 VOIDED.  (STYLE 4092310)","100615","","","Cancelled","  /  /","FEDEX GROUND","     0","     0","",".00","    .00","144.00","","","Voided Line 000008","NJ","","",
"39","Open","AS0001","AS COOPER AND SONS","Invoice","100618","774.00",".00","  .00%",".00",".00","774.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33963","001419","117285","","LINE 0001N3 VOIDED.  (STYLE 4093308)","100618","","","Cancelled","  /  /","FEDEX GROUND","     0","     0","",".00","    .00","774.00","","","Voided Line 0001N3 Voided Line 000157 Vo","NJ","","",
"40","Open","AS0001","AS COOPER AND SONS","Manual","900018","-108.00",".00","  .00%",".00",".00","-108.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33958","001419","117285","","LINE 000154 VOIDED.  (STYLE 2093204)","100557","","","","","","","","","","","","","","","NJ","","",
"41","Open","AS0001","AS COOPER AND SONS","Manual","900019","-108.00",".00","  .00%",".00",".00","-108.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33958","001419","117285","","LINE 000155 VOIDED.  (STYLE 2093206)","100557","","","","","","","","","","","","","","","NJ","","",
"42","Open","AS0001","AS COOPER AND SONS","Manual","900020","-153.00",".00","  .00%",".00",".00","-153.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33960","001419","117285","","LINE 00002C VOIDED.  (STYLE 6096002)","100558","","","","","","","","","","","","","","","NJ","","",
"43","Open","AS0001","AS COOPER AND SONS","Manual","900021","-153.00",".00","  .00%",".00",".00","-153.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33960","001419","117285","","LINE 00002D VOIDED.  (STYLE 6096003)","100558","","","","","","","","","","","","","","","NJ","","",
"44","Open","AS0001","AS COOPER AND SONS","Manual","900022","-100.80",".00","  .00%",".00",".00","-100.80","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33964","001419","117285","","LINE 000158 VOIDED.  (STYLE 1093215)","100559","","","","","","","","","","","","","","","NJ","","",
"45","Open","AS0001","AS COOPER AND SONS","Manual","900023","-100.80",".00","  .00%",".00",".00","-100.80","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33964","001419","117285","","LINE 000159 VOIDED.  (STYLE 1093217)","100560","","","","","","","","","","","","","","","NJ","","",
"46","Open","AS0001","AS COOPER AND SONS","Manual","900024","-144.00",".00","  .00%",".00",".00","-144.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","ABS","001419","117285","","LINE 00005I VOIDED.  (STYLE 9892536)","100561","","","","","","","","","","","","","","","NJ","","",
"47","Open","AS0001","AS COOPER AND SONS","Manual","900025","-135.00",".00","  .00%",".00",".00","-135.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33969","001419","117285","","LINE 00004J VOIDED.  (STYLE 3093221)","100568","","","","","","","","","","","","","","","NJ","","",
"48","Open","AS0001","AS COOPER AND SONS","Manual","900026","-108.00",".00","  .00%",".00",".00","-108.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33969","001419","117285","","LINE 00004K VOIDED.  (STYLE 1093223)","100568","","","","","","","","","","","","","","","NJ","","",
"49","Open","AS0001","AS COOPER AND SONS","Manual","900027","-117.00",".00","  .00%",".00",".00","-117.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33969","001419","117285","","LINE 00004L VOIDED.  (STYLE 3093223)","100568","","","","","","","","","","","","","","","NJ","","",
"50","Open","AS0001","AS COOPER AND SONS","Manual","900028","-108.00",".00","  .00%",".00",".00","-108.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33969","001419","117285","","LINE 00004M VOIDED.  (STYLE 1093225)","100568","","","","","","","","","","","","","","","NJ","","",
"51","Open","AS0001","AS COOPER AND SONS","Manual","900029","-117.00",".00","  .00%",".00",".00","-117.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33969","001419","117285","","LINE 00004N VOIDED.  (STYLE 3093225)","100568","","","","","","","","","","","","","","","NJ","","",
"52","Open","AS0001","AS COOPER AND SONS","Manual","900030","-144.00",".00","  .00%",".00",".00","-144.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33969","001419","117285","","LINE 00004U VOIDED.  (STYLE 3093273)","100568","","","","","","","","","","","","","","","NJ","","",
"53","Open","AS0001","AS COOPER AND SONS","Manual","900031","-135.00",".00","  .00%",".00",".00","-135.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33969","001419","117285","","LINE 0001N4 VOIDED.  (STYLE 1093273)","100568","","","","","","","","","","","","","","","NJ","","",
"54","Open","AS0001","AS COOPER AND SONS","Manual","900032","-144.00",".00","  .00%",".00",".00","-144.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33959","001419","117285","","LINE 000008 VOIDED.  (STYLE 4092310)","100615","","","","","","","","","","","","","","","NJ","","",
"55","Open","AS0001","AS COOPER AND SONS","Manual","900033","-117.00",".00","  .00%",".00",".00","-117.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33963","001419","117285","","LINE 000055 VOIDED.  (STYLE 4093214)","100618","","","","","","","","","","","","","","","NJ","","",
"56","Open","AS0001","AS COOPER AND SONS","Manual","900034","-117.00",".00","  .00%",".00",".00","-117.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33963","001419","117285","","LINE 000057 VOIDED.  (STYLE 4093212)","100618","","","","","","","","","","","","","","","NJ","","",
"57","Open","AS0001","AS COOPER AND SONS","Manual","900035","-117.00",".00","  .00%",".00",".00","-117.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33963","001419","117285","","LINE 000059 VOIDED.  (STYLE 4093214)","100618","","","","","","","","","","","","","","","NJ","","",
"58","Open","AS0001","AS COOPER AND SONS","Manual","900036","-135.00",".00","  .00%",".00",".00","-135.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33963","001419","117285","","LINE 00005F VOIDED.  (STYLE 4093218)","100618","","","","","","","","","","","","","","","NJ","","",
"59","Open","AS0001","AS COOPER AND SONS","Manual","900037","-144.00",".00","  .00%",".00",".00","-144.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33963","001419","117285","","LINE 000157 VOIDED.  (STYLE 4093306)","100618","","","","","","","","","","","","","","","NJ","","",
"60","Open","AS0001","AS COOPER AND SONS","Manual","900038","-144.00",".00","  .00%",".00",".00","-144.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33963","001419","117285","","LINE 0001N3 VOIDED.  (STYLE 4093308)","100618","","","","","","","","","","","","","","","NJ","","",
"61","Open","AS0001","AS COOPER AND SONS","Manual","900039","-153.00",".00","  .00%",".00",".00","-153.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33960","001419","117285","","LINE 00002E VOIDED.  (STYLE 6092310)","100616","","","","","","","","","","","","","","","NJ","","",
"62","Open","AS0001","AS COOPER AND SONS","Manual","900040","-144.00",".00","  .00%",".00",".00","-144.00","NET 30","MC","09/25/2013","W","PB","74","31 to 60"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","ABS","001419","117285","","LINE 00005K VOIDED.  (STYLE 9892540)","100569","","","","","","","","","","","","","","","NJ","","",
"63","Open","BH0001","BATH AND LINENS OF S","Invoice","100986",".00",".00","  .00%",".00",".00",".00","NET 30","EE","10/25/2013","W","PB","44","1 to 30"," 30","11/24/2013","","10/13","","","","","","","","","","No collection Info","81413","BH0001","380463","","LINE 00031Q VOIDED.  (STYLE 9892538)","100986","","","Open","  /  /","FEDEX GROUND","     0","     0","",".00","    .00",".00","","","Voided Line 00031Q","NY","","",
"64","Open","BI0001","BIG LOTS STORES INC","Invoice","100221","6,475.92",".00","  .00%",".00",".00","6,475.92","NET 60","JB","10/02/2013","W","PB","37","1 to 30"," 60","12/01/2013","","08/13","","","","","","000054","10/04/2013","","","No collection Info","83365260","001692","214462","","","100221","G96","","Shipped","10/02/13","CALL TO ROUTE","  2904","   242","135419","6,475.92","    .00",".00","","","","PA","","",
"65","Open","BI0001","BIG LOTS STORES INC","Invoice","100220","6,208.32",".00","  .00%",".00",".00","6,208.32","NET 60","JB","10/03/2013","W","PB","36","1 to 30"," 60","12/02/2013","","08/13","","","","","","000059","10/09/2013","","","No collection Info","83365258","001690","214462","","","100220","G99","","Shipped","10/03/13","CALL TO ROUTE","  2784","   232","135418","6,208.32","    .00",".00","","","","AL","","",
"66","Open","BI0001","BIG LOTS STORES INC","Invoice","100511","5,004.12",".00","  .00%",".00",".00","5,004.12","NET 60","JB","10/08/2013","W","PB","31","Current"," 60","12/07/2013","","08/13","","","","","","000061","10/14/2013","","","No collection Info","83365259","001691","357138","","","100511","G134","","Shipped","10/09/13","CALL TO ROUTE","  2244","   187","140069","5,004.12","    .00",".00","","","","CA","","",
"67","Open","BI0001","BIG LOTS STORES INC","Invoice","100222","6,101.28",".00","  .00%",".00",".00","6,101.28","NET 60","JB","10/09/2013","W","PB","30","Current"," 60","12/08/2013","","08/13","","","","","","000061","10/14/2013","","","No collection Info","83365262","001694","214462","","","100222","G135","","Shipped","10/09/13","CALL TO ROUTE","  2736","   228","135420","6,101.28","    .00",".00","","","","OH","","",
"68","Open","BI0001","BIG LOTS STORES INC","Invoice","100257","4,763.28",".00","  .00%",".00",".00","4,763.28","NET 60","JB","10/10/2013","W","PB","29","Current"," 60","12/09/2013","","08/13","","","","","","000061","10/14/2013","","","No collection Info","83365261","001693","357136","","","100257","G144","","Shipped","10/10/13","CALL TO ROUTE","  2136","   178","136825","4,763.28","    .00",".00","","","","OK","","",
"69","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101071","2,496.00",".00","  .00%",".00",".00","2,496.00","NET 30","JB","11/05/2013","W","PB","33","Current"," 30","12/05/2013","","11/13","","","","","","000092","11/11/2013","","","No collection Info","124787","BN0001","215375","","SHIPPED ON 07/19. GCT REF # 125397.","101071","G00","","Shipped","08/20/13","CALL TO ROUTE","   624","    52","","2,496.00","    .00",".00","","","","NY","","",
"70","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101111","5,217.75",".00","  .00%",".00",".00","5,217.75","NET 30","AF","11/13/2013","W","PB","25","Current"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29018","BN0001","663369","","","101111","G277","","Shipped","11/13/13","CALL TO ROUTE","   773","   773","","5,217.75","    .00",".00","","","","NY","","",
"71","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101112","22,349.25",".00","  .00%",".00",".00","22,349.25","NET 30","AF","11/13/2013","W","PB","25","Current"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29018-1","BN0001","663369","","","101112","G277","","Shipped","11/13/13","CALL TO ROUTE","  3311","  3311","","22,349.25","    .00",".00","","","","NY","","",
