"Seq","Status","TS Status","Account No.","Name","Assign. No.","Amount*","Reference","Date","Cust PO","Terms","Approval","Disc%","Freight*","Balance*","Due Date","Discount*","Type","Other*","Division","Aging","Past Due Status","Due Days","Charge Back No.","Salesperson","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Factor","Assign. Date","Reason","Description","Collection","Ship-To","Cust ChgBack No.","Remarks","Trail","Manifest","Rank","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"11","Open","Shipped","AS0001","AS COOPER AND SONS","000046","162.56","100140","09/05/2013","33959","NET 30","117285","  .00%","18.56","162.56","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","MC","08/13","","","","","","W","09/20/2013","","","No collection Info","001419","","","100140","G-090513","","09/05/13","UPSN-UNITED PAR","    12","     1","","162.56","  18.56",".00","","","","NJ","","",
"12","Open","Shipped","AS0001","AS COOPER AND SONS","000046","172.33","100141","09/05/2013","33960","NET 30","117285","  .00%","19.33","172.33","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","MC","08/13","","","","","","W","09/20/2013","","","No collection Info","001419","","","100141","G-090513","","09/05/13","UPSN-UNITED PAR","    12","     1","","172.33","  19.33",".00","","","","NJ","","",
"13","Open","Shipped","AS0001","AS COOPER AND SONS","000046","315.98","100144","09/05/2013","33969","NET 30","117285","  .00%","28.10","315.98","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","MC","08/13","","","","","","W","09/20/2013","","","No collection Info","001419","","","100144","G-090513","","09/05/13","UPSN-UNITED PAR","    24","     2","","315.98","  28.10",".00","","","","NJ","","",
"14","Open","Shipped","AS0001","AS COOPER AND SONS","000015","191.40","100166","09/05/2013","33959","NET 30","117285","  .00%","29.40","191.40","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","MC","08/13","","","","","","W","09/05/2013","","","No collection Info","001419","","","100166","","","09/05/13","UPSN-UNITED PAR","    24","     2","","191.40","  29.40",".00","","","","NJ","","",
"15","Open","Shipped","AS0001","AS COOPER AND SONS","000015","313.16","100167","09/05/2013","33960","NET 30","117285","  .00%","43.16","313.16","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","MC","08/13","","","","","","W","09/05/2013","","","No collection Info","001419","","","100167","G-090513","","09/05/13","UPSN-UNITED PAR","    36","     3","","313.16","  43.16",".00","","","","NJ","","",
"16","Open","Shipped","AS0001","AS COOPER AND SONS","000015","78.56","100168","09/05/2013","33965","NET 30","117285","  .00%","13.76","78.56","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","MC","08/13","","","","","","W","09/05/2013","","","No collection Info","001419","","","100168","G-090513","","09/05/13","UPSN-UNITED PAR","    12","     1","","78.56","  13.76",".00","","","","NJ","","",
"17","Open","Shipped","AS0001","AS COOPER AND SONS","000015","85.76","100169","09/05/2013","33966","NET 30","117285","  .00%","13.76","85.76","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","MC","08/13","","","","","","W","09/05/2013","","","No collection Info","001419","","","100169","G-090513","","09/05/13","UPSN-UNITED PAR","    12","     1","","85.76","  13.76",".00","","","","NJ","","",
"18","Open","Shipped","AS0001","AS COOPER AND SONS","000027","990.84","100098","09/06/2013","33969","NET 30","117285","  .00%","73.08","990.84","10/06/2013",".00","Invoice",".00","PB","94","91 to 120"," 30","","MC","08/13","","","","","","W","08/29/2013","","","No collection Info","001419","","","100098","G-090613","","09/06/13","","    84","     7","","990.84","  73.08",".00","","","","NJ","","",
"19","Open","Shipped","AS0001","AS COOPER AND SONS","000108","182.14","100142","09/09/2013","33961","NET 30","117285","  .00%","20.14","182.14","10/09/2013",".00","Invoice",".00","PB","91","61 to 90"," 30","","MC","08/13","","","","","","W","12/03/2013","","","No collection Info","001419","","","100142","G-090913","","09/09/13","","    12","     1","","182.14","  20.14",".00","","","","NJ","","",
"20","Open","Shipped","AS0001","AS COOPER AND SONS","000026","119.04","100219","09/10/2013","33969","NET 30","117285","  .00%","11.04","119.04","10/10/2013",".00","Invoice",".00","PB","90","61 to 90"," 30","","MC","08/13","","","","","","W","09/10/2013","","","No collection Info","001419","","","100219","G-091013","","09/10/13","","    12","     1","","119.04","  11.04",".00","","","","NJ","","",
"21","Open","Shipped","AS0001","AS COOPER AND SONS","000046","450.00","100275","09/13/2013","33969","NET 30","117285","  .00%",".00","450.00","10/13/2013",".00","Invoice",".00","PB","87","61 to 90"," 30","","MC","08/13","","","","","","W","09/20/2013","","","No collection Info","001419","","","100275","G33","","09/20/13","UPS GROUND","    48","     6","33969","450.00","  72.82",".00","","","","NJ","","",
"22","Open","Shipped","AS0001","AS COOPER AND SONS","000046","276.21","100124","09/20/2013","33964","NET 30","117285","  .00%","40.05","276.21","10/20/2013",".00","Invoice",".00","PB","80","61 to 90"," 30","","MC","08/13","","","","","","W","09/20/2013","","","No collection Info","001419","","","100124","G36","","09/20/13","","    36","     3","131597","276.21","  40.05",".00","","","","NJ","","",
"23","Open","Shipped","BI0001","BIG LOTS STORES INC","000054","6,475.92","100221","10/02/2013","83365260","NET 60","214462","  .00%",".00","6,475.92","12/01/2013",".00","Invoice",".00","PB","38","31 to 60"," 60","","JB","08/13","","","","","","W","10/04/2013","","","No collection Info","001692","","","100221","G96","","10/02/13","CALL TO ROUTE","  2904","   242","135419","6,475.92","    .00",".00","","","","PA","","",
"24","Open","Shipped","BI0001","BIG LOTS STORES INC","000059","6,208.32","100220","10/03/2013","83365258","NET 60","214462","  .00%",".00","6,208.32","12/02/2013",".00","Invoice",".00","PB","37","31 to 60"," 60","","JB","08/13","","","","","","W","10/09/2013","","","No collection Info","001690","","","100220","G99","","10/03/13","CALL TO ROUTE","  2784","   232","135418","6,208.32","    .00",".00","","","","AL","","",
"25","Open","Shipped","BI0001","BIG LOTS STORES INC","000061","5,004.12","100511","10/08/2013","83365259","NET 60","357138","  .00%",".00","5,004.12","12/07/2013",".00","Invoice",".00","PB","32","31 to 60"," 60","","JB","08/13","","","","","","W","10/14/2013","","","No collection Info","001691","","","100511","G134","","10/09/13","CALL TO ROUTE","  2244","   187","140069","5,004.12","    .00",".00","","","","CA","","",
"26","Open","Shipped","BI0001","BIG LOTS STORES INC","000061","6,101.28","100222","10/09/2013","83365262","NET 60","214462","  .00%",".00","6,101.28","12/08/2013",".00","Invoice",".00","PB","31","1 to 30"," 60","","JB","08/13","","","","","","W","10/14/2013","","","No collection Info","001694","","","100222","G135","","10/09/13","CALL TO ROUTE","  2736","   228","135420","6,101.28","    .00",".00","","","","OH","","",
"27","Open","Shipped","BI0001","BIG LOTS STORES INC","000061","4,763.28","100257","10/10/2013","83365261","NET 60","357136","  .00%",".00","4,763.28","12/09/2013",".00","Invoice",".00","PB","30","1 to 30"," 60","","JB","08/13","","","","","","W","10/14/2013","","","No collection Info","001693","","","100257","G144","","10/10/13","CALL TO ROUTE","  2136","   178","136825","4,763.28","    .00",".00","","","","OK","","",
"28","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000092","2,496.00","101071","11/05/2013","124787","NET 30","215375","  .00%",".00","2,496.00","12/05/2013",".00","Invoice",".00","PB","34","31 to 60"," 30","","JB","11/13","","","","","","W","11/11/2013","","","No collection Info","BN0001","","SHIPPED ON 07/19. GCT REF # 125397.","101071","G00","","08/20/13","CALL TO ROUTE","   624","    52","","2,496.00","    .00",".00","","","","NY","","",
"29","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000102","5,217.75","101111","11/13/2013","E 29018","NET 30","663369","  .00%",".00","5,217.75","12/13/2013",".00","Invoice",".00","PB","26","1 to 30"," 30","","AF","11/13","","","","","","W","11/20/2013","","","No collection Info","BN0001","","","101111","G277","","11/13/13","CALL TO ROUTE","   773","   773","","5,217.75","    .00",".00","","","","NY","","",
"30","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000102","22,349.25","101112","11/13/2013","E 29018-1","NET 30","663369","  .00%",".00","22,349.25","12/13/2013",".00","Invoice",".00","PB","26","1 to 30"," 30","","AF","11/13","","","","","","W","11/20/2013","","","No collection Info","BN0001","","","101112","G277","","11/13/13","CALL TO ROUTE","  3311","  3311","","22,349.25","    .00",".00","","","","NY","","",
"31","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000102","2,902.50","101113","11/13/2013","E 29020","NET 30","663369","  .00%",".00","2,902.50","12/13/2013",".00","Invoice",".00","PB","26","1 to 30"," 30","","AF","11/13","","","","","","W","11/20/2013","","","No collection Info","BN0001","","","101113","G277","","11/13/13","CALL TO ROUTE","   430","   430","","2,902.50","    .00",".00","","","","NY","","",
"32","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000102","6,567.75","101115","11/13/2013","E 29022","NET 30","663369","  .00%",".00","6,567.75","12/13/2013",".00","Invoice",".00","PB","26","1 to 30"," 30","","AF","11/13","","","","","","W","11/20/2013","","","No collection Info","BN0001","","","101115","G277","","11/13/13","CALL TO ROUTE","   973","   973","","6,567.75","    .00",".00","","","","NY","","",
"33","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000102","34,539.75","101116","11/13/2013","E 29022-1","NET 30","663369","  .00%",".00","34,539.75","12/13/2013",".00","Invoice",".00","PB","26","1 to 30"," 30","","AF","11/13","","","","","","W","11/20/2013","","","No collection Info","BN0001","","","101116","G277","","11/13/13","CALL TO ROUTE","  5117","  5117","","34,539.75","    .00",".00","","","","NY","","",
"34","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000102","4,569.75","101117","11/13/2013","E 29024","NET 30","663369","  .00%",".00","4,569.75","12/13/2013",".00","Invoice",".00","PB","26","1 to 30"," 30","","AF","11/13","","","","","","W","11/20/2013","","","No collection Info","BN0001","","","101117","G277","","11/13/13","CALL TO ROUTE","   677","   677","","4,569.75","    .00",".00","","","","NY","","",
"35","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000102","8,829.00","101118","11/13/2013","E 29024-1","NET 30","663369","  .00%",".00","8,829.00","12/13/2013",".00","Invoice",".00","PB","26","1 to 30"," 30","","AF","11/13","","","","","","W","11/20/2013","","","No collection Info","BN0001","","","101118","G277","","11/13/13","CALL TO ROUTE","  1308","  1308","","8,829.00","    .00",".00","","","","NY","","",
"36","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000102","600.75","101119","11/13/2013","E 29026-1","NET 30","663369","  .00%",".00","600.75","12/13/2013",".00","Invoice",".00","PB","26","1 to 30"," 30","","AF","11/13","","","","","","W","11/20/2013","","","No collection Info","BN0001","","","101119","G277","","11/13/13","CALL TO ROUTE","    89","    89","","600.75","    .00",".00","","","","NY","","",
"37","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000102","229.50","101120","11/13/2013","E 29028","NET 30","663369","  .00%",".00","229.50","12/13/2013",".00","Invoice",".00","PB","26","1 to 30"," 30","","AF","11/13","","","","","","W","11/20/2013","","","No collection Info","BN0001","","","101120","G277","","11/13/13","CALL TO ROUTE","    34","    34","","229.50","    .00",".00","","","","NY","","",
"38","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000102","36,281.25","101121","11/13/2013","E 29028-1","NET 30","663369","  .00%",".00","36,281.25","12/13/2013",".00","Invoice",".00","PB","26","1 to 30"," 30","","AF","11/13","","","","","","W","11/20/2013","","","No collection Info","BN0001","","","101121","G277","","11/13/13","CALL TO ROUTE","  5375","  5375","","36,281.25","    .00",".00","","","","NY","","",
"39","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000110","19,448.00","101070","11/15/2013","E 29050","NET 30","663371","  .00%",".00","19,448.00","12/15/2013",".00","Invoice",".00","PB","24","1 to 30"," 30","","AF","11/13","","","","","","W","12/03/2013","","","No collection Info","BN0001","","","101070","G272","","11/15/13","CALL TO ROUTE","  2992","  2992","154493","19,448.00","    .00",".00","","","","NY","","",
"40","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000102","12,690.00","101114","11/20/2013","E 29020-1","NET 30","663369","  .00%",".00","12,690.00","12/20/2013",".00","Invoice",".00","PB","19","1 to 30"," 30","","AF","11/13","","","","","","W","11/20/2013","","","No collection Info","BN0001","","","101114","G277","","11/13/13","CALL TO ROUTE","  1880","  1880","","12,690.00","    .00",".00","","","","NY","","",
"41","Open","Shipped","BN0001","BEN ELIAS INDUSTRIES","000110","357.95","101122","11/21/2013","E 29026","NET 30","663369","  .00%","54.20","357.95","12/21/2013",".00","Invoice",".00","PB","18","1 to 30"," 30","","AF","11/13","","","","","","W","12/03/2013","","","No collection Info","BN0001","","","101122","G286","","11/21/13","VENDOR PORTAL","    45","    45","1Z1VV5130340301","357.95","  54.20",".00","","","","NY","","",
"42","Open","Shipped","CE0001","CENTURY 21 DEPT STOR","000035","720.00","100145","09/18/2013","226784","NET 30","108441","  .00%",".00","720.00","10/18/2013",".00","Invoice",".00","PB","82","61 to 90"," 30","","AF","08/13","","","","","","W","09/18/2013","","","No collection Info","CE0001","","","100145","G17","","09/18/13","","    96","    16","134741","720.00","    .00",".00","","","","NJ","","",
"43","Open","Shipped","CE0001","CENTURY 21 DEPT STOR","000035","1,260.00","100171","09/18/2013","226784","NET 30","108441","  .00%",".00","1,260.00","10/18/2013",".00","Invoice",".00","PB","82","61 to 90"," 30","","AF","08/13","","","","","","W","09/18/2013","","","No collection Info","CE0001","","","100171","G17","","09/18/13","","   168","    28","134741","1,260.00","    .00",".00","","","","NJ","","",
"44","Open","Shipped","CE0001","CENTURY 21 DEPT STOR","000054","360.00","100277","09/23/2013","226784","NET 30","108441","  .00%",".00","360.00","10/23/2013",".00","Invoice",".00","PB","77","61 to 90"," 30","","AF","08/13","","","","","","W","10/04/2013","","","No collection Info","CE0001","","","100277","G77","","09/23/13","SEEROUTINGGUIDE","    48","     8","136987","360.00","    .00",".00","","","","NJ","","",
"45","Open","Shipped","CE0001","CENTURY 21 DEPT STOR","000061","828.00","100571","10/09/2013","222771","NET 30","214457","  .00%",".00","828.00","11/08/2013",".00","Invoice",".00","PB","61","61 to 90"," 30","","AF","08/13","","","","","","W","10/14/2013","","","No collection Info","CE0001","","","100571","G137","","10/09/13","CALL TO ROUTE","    72","     6","140517","828.00","    .00",".00","","","","NJ","","",
"46","Open","Shipped","CE0001","CENTURY 21 DEPT STOR","000082","828.00","100955","10/25/2013","222771","NET 30","214457","  .00%",".00","828.00","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","CE0001","","","100955","G234","","10/25/13","SEEROUTINGGUIDE","    72","     6","151719","828.00","    .00",".00","","","","NJ","","",
"47","Open","Shipped","CL0001","CAROLINA CASH CO., I","000102","2,574.44","101081","11/19/2013","101913","NET 30","676817","  .00%","220.40","2,574.44","12/19/2013",".00","Invoice",".00","PB","20","1 to 30"," 30","","EE","11/13","","","","","","W","11/20/2013","","","No collection Info","CL0001","","","101081","G274","","11/14/13","UCL","   276","    36","156236","2,574.44"," 220.40",".00","","","","SC","","",
"48","Open","Shipped","CO0001","CONSOLIDATED CLOTHIE","000109","2,736.00","100962","11/01/2013","ABS81313-BB","NET 30","313476","  .00%",".00","2,736.00","12/01/2013",".00","Invoice",".00","PB","38","31 to 60"," 30","","EE","10/13","","","","","","W","12/03/2013","","","No collection Info","CO0002","","","100962","G239","","11/01/13","CALL TO ROUTE","   456","    76","410-9476610-2","2,736.00","    .00",".00","","","","TX","","",
"49","Open","Shipped","DD0001","DD DISCOUNTS","000049","2,280.00","100278","09/26/2013","7961983","NET 60","214365","  .00%",".00","2,280.00","11/25/2013",".00","Invoice",".00","PB","44","31 to 60"," 60","","AF","08/13","","","","","","W","09/27/2013","","","No collection Info","DD001","","","100278","G63","","09/26/13","call to route","   480","    40","136988","2,280.00","    .00",".00","","","","CA","","",
"50","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000016","6,720.00","100106","09/10/2013","F0PV7R","NET 75","APRVD JM","  .00%",".00","6,720.00","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 75","","DS","08/13","","","","","","W","08/29/2013","","","No collection Info","000519","","","100106","G-091013","","09/10/13","","  1920","    40","","6,720.00","    .00",".00","","","","KY","","",
"51","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000016","7,560.00","100109","09/10/2013","F0PV7W","NET 75","APRV JM","  .00%",".00","7,560.00","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 75","","DS","08/13","","","","","","W","08/29/2013","","","No collection Info","000522","","","100109","G-091013","","09/10/13","","  2160","    45","","7,560.00","    .00",".00","","","","MS","","",
"52","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000016","12,600.00","100110","09/10/2013","F0PV7X","NET 75","APRVD JM","  .00%",".00","12,600.00","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 75","","DS","08/13","","","","","","W","08/29/2013","","","No collection Info","000524","","","100110","G-091013","","09/10/13","","  3600","    75","","12,600.00","    .00",".00","","","","MO","","",
"53","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000016","7,392.00","100111","09/10/2013","F0PV7Y","NET 75","APRVD JM","  .00%",".00","7,392.00","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 75","","DS","08/13","","","","","","W","08/29/2013","","","No collection Info","000525","","","100111","G-091013","","09/10/13","","  2112","    44","","7,392.00","    .00",".00","","","","FL","","",
"54","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000016","21,840.00","100112","09/10/2013","F0PV80","NET 75","APRVD JM","  .00%",".00","21,840.00","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 75","","DS","08/13","","","","","","W","08/29/2013","","","No collection Info","000526","","","100112","G-091013","","09/10/13","","  6240","   130","","21,840.00","    .00",".00","","","","OH","","",
"55","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000016","8,232.00","100113","09/10/2013","F0PV81","NET 75","APRVD JM","  .00%",".00","8,232.00","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 75","","DS","08/13","","","","","","W","08/29/2013","","","No collection Info","000527","","","100113","G-091013","","09/10/13","","  2352","    49","","8,232.00","    .00",".00","","","","SC","","",
"56","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000016","16,800.00","100114","09/10/2013","F0PV82","NET 75","APRVD JM","  .00%",".00","16,800.00","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 75","","DS","08/13","","","","","","W","08/29/2013","","","No collection Info","000528","","","100114","G-091013","","09/10/13","","  4800","   100","","16,800.00","    .00",".00","","","","IN","","",
"57","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000016","11,928.00","100115","09/10/2013","F0PV83","NET 75","APRVD JM","  .00%",".00","11,928.00","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 75","","DS","08/13","","","","","","W","08/29/2013","","","No collection Info","000529","","","100115","G-091013","","09/10/13","","  3408","    71","","11,928.00","    .00",".00","","","","AL","","",
"58","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000056","44,808.00","100574","10/07/2013","F0PV86","NET 75","APRVD JM","  .00%",".00","44,808.00","12/21/2013",".00","Invoice",".00","PB","18","1 to 30"," 75","","DS","08/13","","","","","","W","10/08/2013","","","No collection Info","000520","","","100574","G126","","10/07/13"," VENDOR PORTAL"," 13392","   279","140520","44,808.00","    .00",".00","","","","OK","","",
"59","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000056","22,104.00","100590","10/07/2013","F0PV8J","NET 75","APRVD JM","  .00%",".00","22,104.00","12/21/2013",".00","Invoice",".00","PB","18","1 to 30"," 75","","DS","08/13","","","","","","W","10/08/2013","","","No collection Info","000529","","","100590","G125","","10/07/13"," VENDOR PORTAL","  6576","   137","140536","22,104.00","    .00",".00","","","","AL","","",
"60","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000065","4,752.00","100572","10/14/2013","F0PV6X","NET 75","APRVD JM","  .00%",".00","4,752.00","12/28/2013",".00","Invoice",".00","PB","11","1 to 30"," 75","","DS","08/13","","","","","","W","10/16/2013","","","No collection Info","000519","","","100572","G154","","10/14/13","VENDOR PORTAL","  1584","    33","140518","4,752.00","    .00",".00","","","","KY","","",
"61","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000065","4,464.00","100575","10/14/2013","F0PV70","NET 75","APRVD JM","  .00%",".00","4,464.00","12/28/2013",".00","Invoice",".00","PB","11","1 to 30"," 75","","DS","08/13","","","","","","W","10/16/2013","","","No collection Info","000521","","","100575","G155","","10/14/13","VENDOR PORTAL","  1488","    31","140521","4,464.00","    .00",".00","","","","VA","","",
"62","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000065","8,208.00","100579","10/14/2013","F0PV72","NET 75","APRVD JM","  .00%",".00","8,208.00","12/28/2013",".00","Invoice",".00","PB","11","1 to 30"," 75","","DS","08/13","","","","","","W","10/16/2013","","","No collection Info","000524","","","100579","G159","","10/14/13","VENDOR PORTAL","  2736","    57","140525","8,208.00","    .00",".00","","","","MO","","",
"63","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000064","432.00","100581","10/14/2013","F0PV73","NET 75","APRVED JM","  .00%",".00","432.00","12/28/2013",".00","Invoice",".00","PB","11","1 to 30"," 75","","DS","08/13","","","","","","W","10/16/2013","","","No collection Info","000525","","","100581","G158","","10/14/13","VENDOR PORTAL","   144","     3","140527","432.00","    .00",".00","","","","FL","","",
"64","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000065","4,320.00","100589","10/14/2013","F0PV77","NET 75","APRVD JM","  .00%",".00","4,320.00","12/28/2013",".00","Invoice",".00","PB","11","1 to 30"," 75","","DS","08/13","","","","","","W","10/16/2013","","","No collection Info","000529","","","100589","G160","","10/14/13","VENDOR PORTAL","  1440","    30","140535","4,320.00","    .00",".00","","","","AL","","",
"65","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000065","432.00","100591","10/14/2013","F0PV78","NET 75","APRVD JM","  .00%",".00","432.00","12/28/2013",".00","Invoice",".00","PB","11","1 to 30"," 75","","DS","08/13","","","","","","W","10/16/2013","","","No collection Info","000530","","","100591","G153","","10/14/13","VENDOR PORTAL","   144","     3","140556","432.00","    .00",".00","","","","CA","","",
"66","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000065","1,728.00","100599","10/14/2013","F0PV6X","NET 75","APRVD JM","  .00%",".00","1,728.00","12/28/2013",".00","Invoice",".00","PB","11","1 to 30"," 75","","DS","08/13","","","","","","W","10/16/2013","","","No collection Info","000519","","","100599","G162","","10/14/13","CALL TO ROUTE","   576","    12","140545","1,728.00","    .00",".00","","","","KY","","",
"67","Open","Shipped","DG0001","DOLLAR GENERAL LLC","000065","2,448.00","100600","10/14/2013","F0PV6Y","NET 75","APRVD JM","  .00%",".00","2,448.00","12/28/2013",".00","Invoice",".00","PB","11","1 to 30"," 75","","DS","08/13","","","","","","W","10/16/2013","","","No collection Info","000520","","","100600","G163","","10/14/13","CALL TO ROUTE","   816","    17","140546","2,448.00","    .00",".00","","","","OK","","",
