"Seq","Status","Account No.","Name","Type","Reference","Amount*","Freight*","Disc%","Discount*","Other*","Balance*","Terms","Salesperson","Date","Factor","Division","Aging","Past Due Status","Due Days","Due Date","Charge Back No.","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Assign. No.","Assign. Date","Reason","Description","Collection","Cust PO","Ship-To","Approval","Cust ChgBack No.","Remarks","Trail","Manifest","Rank","State", 
"34","Open","AS0001","AS COOPER AND SONS","Invoice","100167","313.16","43.16","  .00%",".00",".00","313.16","NET 30","MC","09/05/2013","W","PB","121","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33960","001419","117285","","","100167","","","NJ",
"35","Open","AS0001","AS COOPER AND SONS","Invoice","100168","78.56","13.76","  .00%",".00",".00","78.56","NET 30","MC","09/05/2013","W","PB","121","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33965","001419","117285","","","100168","","","NJ",
"36","Open","AS0001","AS COOPER AND SONS","Invoice","100169","85.76","13.76","  .00%",".00",".00","85.76","NET 30","MC","09/05/2013","W","PB","121","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33966","001419","117285","","","100169","","","NJ",
"37","Open","KD0003","KID DYNOMITE","Invoice","100173","382.36","63.16","  .00%",".00",".00","382.36","NET 30","EE","09/05/2013","W","PB","121","91 to 120"," 30","10/05/2013","","08/13","","","","","","000025","09/05/2013","","","No collection Info","8213","KD0003","276389","","","100173","","","NY",
"38","Open","BI0001","BIG LOTS STORES INC","Invoice","100220","6,208.32",".00","  .00%",".00",".00","6,208.32","NET 60","JB","10/03/2013","W","PB","63","31 to 60"," 60","12/02/2013","","08/13","","","","","","000059","10/09/2013","","","No collection Info","83365258","001690","214462","","","100220","","","AL",
"39","Open","GB0001","GABRIEL BROTHERS","Invoice","100223","480.00",".00","  .00%",".00",".00","480.00","NET 30","JB","09/09/2013","W","PB","117","91 to 120"," 30","10/09/2013","","08/13","","","","","","","","","","No collection Info","100-0000261914 KS","GB0001","382698","","LINE 0000SV VOIDED.  (STYLE 4070221)","100223","","","WV",
"40","Open","GB0001","GABRIEL BROTHERS","Invoice","100225","225.00",".00","  .00%",".00",".00","225.00","NET 30","JB","09/09/2013","W","PB","117","91 to 120"," 30","10/09/2013","","08/13","","","","","","","","","","No collection Info","100-0000261924 KS","GB0001","382698","","LINE 0000S7 VOIDED.  (STYLE 2630700)","100225","","","WV",
"41","Open","ST0001","STAGE STORES INC","Invoice","100235","1,512.00",".00","  .00%",".00",".00","1,512.00","","AF","09/26/2013","W","PB","130","91 to 120","  0","09/26/2013","","08/13","","","","","","","","","","No collection Info","20020518","000707","","","","100235","","","TX",
"42","Open","ST0001","STAGE STORES INC","Invoice","100236","1,512.00",".00","  .00%",".00",".00","1,512.00","","AF","09/26/2013","W","PB","130","91 to 120","  0","09/26/2013","","08/13","","","","","","","","","","No collection Info","20020519","000707","","","","100236","","","TX",
"43","Open","WA0004","WALMART CENTRAL AMER","Invoice","100247","20,520.00",".00","  .00%",".00",".00","20,520.00","","MC","09/10/2013","W","PB","146","121 to 150","  0","09/10/2013","","08/13","","","","","","","","","","Charged Back by Factor","8826455290","WA0004","","","Manual Charge Back","100247","","","",
"44","Open","BI0001","BIG LOTS STORES INC","Invoice","100257","4,763.28",".00","  .00%",".00",".00","4,763.28","NET 60","JB","10/10/2013","W","PB","56","1 to 30"," 60","12/09/2013","","08/13","","","","","","000061","10/14/2013","","","No collection Info","83365261","001693","357136","","","100257","","","OK",
"45","Open","MA0001","THE MARMAXX GROUP","Invoice","100264","13,094.40",".00","  .00%",".00",".00","13,094.40","NET 30","AF","09/18/2013","W","PB","108","61 to 90"," 30","10/18/2013","","08/13","","","","","","000035","09/18/2013","","","No collection Info","827252","MA0001","342795","","","100264","","","MA",
"46","Open","AS0001","AS COOPER AND SONS","Invoice","100274","288.00",".00","  .00%",".00",".00","288.00","NET 30","MC","09/13/2013","W","PB","113","61 to 90"," 30","10/13/2013","","08/13","","","","","","","","","","No collection Info","33959","001419","117285.","","LINE 000007 VOIDED.  (STYLE 4096002)","100274","","","NJ",
"47","Open","DD0001","DD DISCOUNTS","Invoice","100278","2,280.00",".00","  .00%",".00",".00","2,280.00","NET 60","AF","09/26/2013","W","PB","70","31 to 60"," 60","11/25/2013","","08/13","","","","","","000049","09/27/2013","","","No collection Info","7961983","DD001","214365","","","100278","","","CA",
"48","Open","LI0002","LIEBMANS","Invoice","100292","130.09","14.89","  .00%",".00",".00","130.09","NET 30","EE","09/20/2013","W","PB","136","91 to 120","  0","09/20/2013","","08/13","","","","","","000108","12/03/2013","","","No collection Info","07112013","LI0002","215510","","","100292","","","NY",
"49","Open","LI0002","LIEBMANS","Invoice","100293","319.58","31.58","  .00%",".00",".00","319.58","NET 30","EE","09/20/2013","W","PB","136","91 to 120","  0","09/20/2013","","08/13","","","","","","000108","12/03/2013","","","No collection Info","071120132","LI0002","215510","","","100293","","","NY",
"50","Open","LI0002","LIEBMANS","Invoice","100294","437.30","29.30","  .00%",".00",".00","437.30","NET 30","EE","09/13/2013","W","PB","143","91 to 120","  0","09/13/2013","","08/13","","","","","","000108","12/03/2013","","","No collection Info","071120133","LI0002","215510","","","100294","","","NY",
"51","Open","MA0001","THE MARMAXX GROUP","Invoice","100295","4,416.00",".00","  .00%",".00",".00","4,416.00","NET 30","AF","09/26/2013","W","PB","100","61 to 90"," 30","10/26/2013","","08/13","","","","","","000051","10/01/2013","","","No collection Info","827252","MA0001","342795","","","100295","","","MA",
"52","Open","MR0001","M AND R CHILDRENSWEA","Invoice","100296","351.16","63.16","  .00%",".00",".00","351.16","NET 30","EE","09/20/2013","W","PB","106","61 to 90"," 30","10/20/2013","","08/13","","","","","","000045","09/20/2013","","","Return Processed","2155","MR0001","108685","","Customer claiming they return the goods","100296","","","NY",
"53","Open","MR0001","M AND R CHILDRENSWEA","Invoice","100297","211.70","29.30","  .00%",".00",".00","211.70","NET 30","EE","09/20/2013","W","PB","106","61 to 90"," 30","10/20/2013","","08/13","","","","","","000045","09/20/2013","","","Return Processed","2157","MR0001","108685","","Customer claims  they return back","100297","","","NY",
"54","Open","RA0001","RAQUEL DISCOUNT STOR","Invoice","100298","175.58","31.58","  .00%",".00",".00","175.58","NET 30","EE","09/20/2013","W","PB","106","61 to 90"," 30","10/20/2013","","08/13","","","","","","000045","09/20/2013","","","Contacted Customer","2155","RA0001","109934","","SENT POD 11/21/13","100298","","","NY",
"55","Open","RA0001","RAQUEL DISCOUNT STOR","Invoice","100299","211.70","29.30","  .00%",".00",".00","211.70","NET 30","EE","09/20/2013","W","PB","106","61 to 90"," 30","10/20/2013","","08/13","","","","","","000045","09/20/2013","","","No collection Info","2157","RA0001","109934","","","100299","","","NY",
"56","Open","KO0001","OK KIDS","Invoice","100318","9,168.00",".00","  .00%",".00",".00","9,168.00","NET 30","EE","08/14/2013","W","PB","143","91 to 120"," 30","09/13/2013","","08/13","","","","","","000052","10/01/2013","","","No collection Info","082213","KO0001","",""," Adjust qty shipped 900063 Adjust qty sh","100318","","","CN",
"57","Open","KO0001","OK KIDS","Invoice","100319","6,360.00",".00","  .00%",".00",".00","6,360.00","NET 30","EE","08/17/2013","W","PB","140","91 to 120"," 30","09/16/2013","","08/13","","","","","","000048","09/27/2013","","","No collection Info","082213","KO0001","","","","100319","","","CN",
"58","Open","KO0001","OK KIDS","Invoice","100320","6,000.00",".00","  .00%",".00",".00","6,000.00","NET 30","EE","08/19/2013","W","PB","138","91 to 120"," 30","09/18/2013","","08/13","","","","","","000048","09/27/2013","","","No collection Info","082213","KO0001","","","","100320","","","CN",
"59","Open","KO0001","OK KIDS","Invoice","100321","4,800.00",".00","  .00%",".00",".00","4,800.00","NET 30","EE","08/21/2013","W","PB","136","91 to 120"," 30","09/20/2013","","08/13","","","","","","000048","09/27/2013","","","No collection Info","082213","KO0001","","","","100321","","","CN",
"60","Open","KO0001","OK KIDS","Invoice","100322","4,212.00",".00","  .00%",".00",".00","4,212.00","NET 30","EE","09/09/2013","W","PB","117","91 to 120"," 30","10/09/2013","","08/13","","","","","","000048","09/27/2013","","","No collection Info","082213","KO0001","","","","100322","","","CN",
"61","Open","SM0001","STEIN MART","Invoice","100336","189.00",".00","  .00%",".00",".00","189.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","55","31 to 60"," 30","12/10/2013","","08/13","","","","","","000067","10/16/2013","","","No collection Info","691583003","002167","214696","","test","100336","","","TN",
"62","Open","SM0001","STEIN MART","Invoice","100337","189.00",".00","  .00%",".00",".00","189.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","55","1 to 30"," 30","12/10/2013","","08/13","","","","","","000068","10/16/2013","","","No collection Info","691583004","002168","214696","","","100337","","","KY",
"63","Open","SM0001","STEIN MART","Invoice","100346","189.00",".00","  .00%",".00",".00","189.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000068","10/16/2013","","","No collection Info","691583032","002181","214696","","","100346","","","TN",
"64","Open","SM0001","STEIN MART","Invoice","100347","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000068","10/16/2013","","","No collection Info","691583037","002184","NONE","","","100347","","","FL",
"65","Open","SM0001","STEIN MART","Invoice","100348","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000068","10/16/2013","","","No collection Info","691583042","002187","NONE","","","100348","","","NC",
"66","Open","SM0001","STEIN MART","Invoice","100349","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000068","10/16/2013","","","No collection Info","691583045","002189","214696","","","100349","","","FL",
"67","Open","SM0001","STEIN MART","Invoice","100350","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000068","10/16/2013","","","No collection Info","691583047","002190","214696","","","100350","","","NC",
"68","Open","SM0001","STEIN MART","Invoice","100351","189.00",".00","  .00%",".00",".00","189.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583049","002192","214696","","","100351","","","VA",
"69","Open","SM0001","STEIN MART","Invoice","100352","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583051","002193","NONE","","","100352","","","FL",
"70","Open","SM0001","STEIN MART","Invoice","100353","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583052","002194","214696","","","100353","","","FL",
"71","Open","SM0001","STEIN MART","Invoice","100354","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583053","002195","NONE","","","100354","","","GA",
"72","Open","SM0001","STEIN MART","Invoice","100355","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583057","002196","NONE","","","100355","","","FL",
"73","Open","SM0001","STEIN MART","Invoice","100356","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583058","002197","NONE","","","100356","","","FL",
"74","Open","SM0001","STEIN MART","Invoice","100357","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583060","002198","NONE","","","100357","","","OH",
"75","Open","SM0001","STEIN MART","Invoice","100358","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583062","002199","NONE","","","100358","","","OH",
"76","Open","SM0001","STEIN MART","Invoice","100359","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583063","002200","NONE","","","100359","","","TN",
"77","Open","SM0001","STEIN MART","Invoice","100360","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583071","002202","NONE","","","100360","","","IN",
"78","Open","SM0001","STEIN MART","Invoice","100361","189.00",".00","  .00%",".00",".00","189.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583073","002203","NONE","","","100361","","","GA",
"79","Open","SM0001","STEIN MART","Invoice","100362","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583075","002205","NONE","","","100362","","","NC",
"80","Open","SM0001","STEIN MART","Invoice","100363","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583076","002206","NONE","","","100363","","","FL",
"81","Open","SM0001","STEIN MART","Invoice","100364","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583087","002208","NONE","","","100364","","","IN",
"82","Open","SM0001","STEIN MART","Invoice","100365","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583092","002209","NONE","","","100365","","","GA",
"83","Open","SM0001","STEIN MART","Invoice","100366","189.00",".00","  .00%",".00",".00","189.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583094","002210","NONE","","","100366","","","VA",
"84","Open","SM0001","STEIN MART","Invoice","100367","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583096","002211","NONE","","","100367","","","NC",
"85","Open","SM0001","STEIN MART","Invoice","100368","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583100","002213","NONE","","","100368","","","GA",
"86","Open","SM0001","STEIN MART","Invoice","100369","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583102","002214","NONE","","","100369","","","GA",
"87","Open","SM0001","STEIN MART","Invoice","100370","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583103","002215","214696","","","100370","","","NC",
"88","Open","SM0001","STEIN MART","Invoice","100371","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583105","002216","214696","","","100371","","","IN",
"89","Open","SM0001","STEIN MART","Invoice","100372","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583108","002217","214696","","","100372","","","FL",
"90","Open","SM0001","STEIN MART","Invoice","100373","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000071","10/16/2013","","","No collection Info","691583116","002218","214696","","","100373","","","PA",
"91","Open","SM0001","STEIN MART","Invoice","100374","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000072","10/16/2013","","","No collection Info","691583119","002219","214696","","","100374","","","FL",
"92","Open","SM0001","STEIN MART","Invoice","100375","189.00",".00","  .00%",".00",".00","189.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000072","10/16/2013","","","No collection Info","691583120","002220","214696","","","100375","","","VA",
"93","Open","SM0001","STEIN MART","Invoice","100376","189.00",".00","  .00%",".00",".00","189.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000072","10/16/2013","","","No collection Info","691583125","002221","214696","","","100376","","","FL",
"94","Open","SM0001","STEIN MART","Invoice","100377","378.00",".00","  .00%",".00",".00","378.00","NET 10 EOM + 30","EE","10/15/2013","W","PB","85","31 to 60","  0","11/10/2013","","08/13","","","","","","000072","10/16/2013","","","No collection Info","691583127","002222","214696","","","100377","","","TN",
