"Seq","Status","Account No.","Name","Type","Reference","Amount*","Freight*","Disc%","Discount*","Other*","Balance*","Terms","Salesperson","Date","Factor","Division","Aging","Past Due Status","Due Days","Due Date","Charge Back No.","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Assign. No.","Assign. Date","Reason","Description","Collection","Cust PO","Ship-To","Approval","Cust ChgBack No.","Remarks","Trail","Manifest","Rank","TS Status","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"23","Open","AS0001","AS COOPER AND SONS","Invoice","100274","288.00",".00","  .00%",".00",".00","288.00","NET 30","MC","09/13/2013","W","PB","87","61 to 90"," 30","10/13/2013","","08/13","","","","","","","","","","No collection Info","33959","001419","117285.","","LINE 000007 VOIDED.  (STYLE 4096002)","100274","","","Cancelled","  /  /","FEDEX GROUND","     0","     0","",".00","    .00","288.00","","","Voided Line 000007 Voided Line 000006","NJ","","",
"24","Open","AS0001","AS COOPER AND SONS","Invoice","100275","450.00",".00","  .00%",".00",".00","450.00","NET 30","MC","09/13/2013","W","PB","87","61 to 90"," 30","10/13/2013","","08/13","","","","","","000046","09/20/2013","","","No collection Info","33969","001419","117285","","","100275","G33","","Shipped","09/20/13","UPS GROUND","    48","     6","33969","450.00","  72.82",".00","","","","NJ","","",
"25","Open","AS0001","AS COOPER AND SONS","Invoice","100124","276.21","40.05","  .00%",".00",".00","276.21","NET 30","MC","09/20/2013","W","PB","80","61 to 90"," 30","10/20/2013","","08/13","","","","","","000046","09/20/2013","","","No collection Info","33964","001419","117285","","","100124","G36","","Shipped","09/20/13","","    36","     3","131597","276.21","  40.05",".00","","","","NJ","","",
"26","Open","AS0001","AS COOPER AND SONS","Invoice","100557","216.00",".00","  .00%",".00",".00","216.00","NET 30","MC","09/25/2013","W","PB","75","61 to 90"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33958","001419","117285","","LINE 000155 VOIDED.  (STYLE 2093206)","100557","","","Cancelled","  /  /","UPSN-UNITED PAR","     0","     0","",".00","    .00","216.00","","","Voided Line 000155 Voided Line 000154","NJ","","",
"27","Open","AS0001","AS COOPER AND SONS","Invoice","100558","306.00",".00","  .00%",".00",".00","306.00","NET 30","MC","09/25/2013","W","PB","75","61 to 90"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33960","001419","117285","","LINE 00002D VOIDED.  (STYLE 6096003)","100558","","","Cancelled","  /  /","USPS","     0","     0","",".00","    .00","306.00","","","Voided Line 00002D Voided Line 00002C","NJ","","",
"28","Open","AS0001","AS COOPER AND SONS","Invoice","100559","100.80",".00","  .00%",".00",".00","100.80","NET 30","MC","09/25/2013","W","PB","75","61 to 90"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33964","001419","117285","","LINE 000158 VOIDED.  (STYLE 1093215)","100559","","","Cancelled","  /  /","CALL TO ROUTE","     0","     0","",".00","    .00","100.80","","","Voided Line 000158","NJ","","",
"29","Open","AS0001","AS COOPER AND SONS","Invoice","100560","100.80",".00","  .00%",".00",".00","100.80","NET 30","MC","09/25/2013","W","PB","75","61 to 90"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33964","001419","117285","","LINE 000159 VOIDED.  (STYLE 1093217)","100560","","","Cancelled","  /  /","CALL TO ROUTE","     0","     0","",".00","    .00","100.80","","","Voided Line 000159","NJ","","",
"30","Open","AS0001","AS COOPER AND SONS","Invoice","100561","144.00",".00","  .00%",".00",".00","144.00","NET 30","MC","09/25/2013","W","PB","75","61 to 90"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","ABS","001419","117285","","LINE 00005I VOIDED.  (STYLE 9892536)","100561","","","Cancelled","  /  /","USPS","     0","     0","",".00","    .00","144.00","","","Voided Line 00005I","NJ","","",
"31","Open","AS0001","AS COOPER AND SONS","Invoice","100568","864.00",".00","  .00%",".00",".00","864.00","NET 30","MC","09/25/2013","W","PB","75","61 to 90"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33969","001419","117285","","LINE 0001N4 VOIDED.  (STYLE 1093273)","100568","","","Cancelled","  /  /","USPS","     0","     0","",".00","    .00","864.00","","","Voided Line 0001N4 Voided Line 00004U Vo","NJ","","",
"32","Open","AS0001","AS COOPER AND SONS","Invoice","100569","144.00",".00","  .00%",".00",".00","144.00","NET 30","MC","09/25/2013","W","PB","75","61 to 90"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","ABS","001419","117285","","LINE 00005K VOIDED.  (STYLE 9892540)","100569","","","Cancelled","  /  /","USPS","     0","     0","",".00","    .00","144.00","","","Voided Line 00005K","NJ","","",
"33","Open","AS0001","AS COOPER AND SONS","Invoice","100615","144.00",".00","  .00%",".00",".00","144.00","NET 30","MC","09/25/2013","W","PB","75","61 to 90"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33959","001419","117285","","LINE 000008 VOIDED.  (STYLE 4092310)","100615","","","Cancelled","  /  /","FEDEX GROUND","     0","     0","",".00","    .00","144.00","","","Voided Line 000008","NJ","","",
"34","Open","AS0001","AS COOPER AND SONS","Invoice","100618","774.00",".00","  .00%",".00",".00","774.00","NET 30","MC","09/25/2013","W","PB","75","61 to 90"," 30","10/25/2013","","08/13","","","","","","","","","","No collection Info","33963","001419","117285","","LINE 0001N3 VOIDED.  (STYLE 4093308)","100618","","","Cancelled","  /  /","FEDEX GROUND","     0","     0","",".00","    .00","774.00","","","Voided Line 0001N3 Voided Line 000157 Vo","NJ","","",
"35","Open","BH0001","BATH AND LINENS OF S","Invoice","100986",".00",".00","  .00%",".00",".00",".00","NET 30","EE","10/25/2013","W","PB","45","31 to 60"," 30","11/24/2013","","10/13","","","","","","","","","","No collection Info","81413","BH0001","380463","","LINE 00031Q VOIDED.  (STYLE 9892538)","100986","","","Open","  /  /","FEDEX GROUND","     0","     0","",".00","    .00",".00","","","Voided Line 00031Q","NY","","",
"36","Open","BI0001","BIG LOTS STORES INC","Invoice","100221","6,475.92",".00","  .00%",".00",".00","6,475.92","NET 60","JB","10/02/2013","W","PB","38","31 to 60"," 60","12/01/2013","","08/13","","","","","","000054","10/04/2013","","","No collection Info","83365260","001692","214462","","","100221","G96","","Shipped","10/02/13","CALL TO ROUTE","  2904","   242","135419","6,475.92","    .00",".00","","","","PA","","",
"37","Open","BI0001","BIG LOTS STORES INC","Invoice","100220","6,208.32",".00","  .00%",".00",".00","6,208.32","NET 60","JB","10/03/2013","W","PB","37","31 to 60"," 60","12/02/2013","","08/13","","","","","","000059","10/09/2013","","","No collection Info","83365258","001690","214462","","","100220","G99","","Shipped","10/03/13","CALL TO ROUTE","  2784","   232","135418","6,208.32","    .00",".00","","","","AL","","",
"38","Open","BI0001","BIG LOTS STORES INC","Invoice","100511","5,004.12",".00","  .00%",".00",".00","5,004.12","NET 60","JB","10/08/2013","W","PB","32","31 to 60"," 60","12/07/2013","","08/13","","","","","","000061","10/14/2013","","","No collection Info","83365259","001691","357138","","","100511","G134","","Shipped","10/09/13","CALL TO ROUTE","  2244","   187","140069","5,004.12","    .00",".00","","","","CA","","",
"39","Open","BI0001","BIG LOTS STORES INC","Invoice","100222","6,101.28",".00","  .00%",".00",".00","6,101.28","NET 60","JB","10/09/2013","W","PB","31","1 to 30"," 60","12/08/2013","","08/13","","","","","","000061","10/14/2013","","","No collection Info","83365262","001694","214462","","","100222","G135","","Shipped","10/09/13","CALL TO ROUTE","  2736","   228","135420","6,101.28","    .00",".00","","","","OH","","",
"40","Open","BI0001","BIG LOTS STORES INC","Invoice","100257","4,763.28",".00","  .00%",".00",".00","4,763.28","NET 60","JB","10/10/2013","W","PB","30","1 to 30"," 60","12/09/2013","","08/13","","","","","","000061","10/14/2013","","","No collection Info","83365261","001693","357136","","","100257","G144","","Shipped","10/10/13","CALL TO ROUTE","  2136","   178","136825","4,763.28","    .00",".00","","","","OK","","",
"41","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101071","2,496.00",".00","  .00%",".00",".00","2,496.00","NET 30","JB","11/05/2013","W","PB","34","31 to 60"," 30","12/05/2013","","11/13","","","","","","000092","11/11/2013","","","No collection Info","124787","BN0001","215375","","SHIPPED ON 07/19. GCT REF # 125397.","101071","G00","","Shipped","08/20/13","CALL TO ROUTE","   624","    52","","2,496.00","    .00",".00","","","","NY","","",
"42","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101111","5,217.75",".00","  .00%",".00",".00","5,217.75","NET 30","AF","11/13/2013","W","PB","26","1 to 30"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29018","BN0001","663369","","","101111","G277","","Shipped","11/13/13","CALL TO ROUTE","   773","   773","","5,217.75","    .00",".00","","","","NY","","",
"43","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101112","22,349.25",".00","  .00%",".00",".00","22,349.25","NET 30","AF","11/13/2013","W","PB","26","1 to 30"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29018-1","BN0001","663369","","","101112","G277","","Shipped","11/13/13","CALL TO ROUTE","  3311","  3311","","22,349.25","    .00",".00","","","","NY","","",
"44","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101113","2,902.50",".00","  .00%",".00",".00","2,902.50","NET 30","AF","11/13/2013","W","PB","26","1 to 30"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29020","BN0001","663369","","","101113","G277","","Shipped","11/13/13","CALL TO ROUTE","   430","   430","","2,902.50","    .00",".00","","","","NY","","",
"45","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101115","6,567.75",".00","  .00%",".00",".00","6,567.75","NET 30","AF","11/13/2013","W","PB","26","1 to 30"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29022","BN0001","663369","","","101115","G277","","Shipped","11/13/13","CALL TO ROUTE","   973","   973","","6,567.75","    .00",".00","","","","NY","","",
"46","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101116","34,539.75",".00","  .00%",".00",".00","34,539.75","NET 30","AF","11/13/2013","W","PB","26","1 to 30"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29022-1","BN0001","663369","","","101116","G277","","Shipped","11/13/13","CALL TO ROUTE","  5117","  5117","","34,539.75","    .00",".00","","","","NY","","",
"47","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101117","4,569.75",".00","  .00%",".00",".00","4,569.75","NET 30","AF","11/13/2013","W","PB","26","1 to 30"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29024","BN0001","663369","","","101117","G277","","Shipped","11/13/13","CALL TO ROUTE","   677","   677","","4,569.75","    .00",".00","","","","NY","","",
"48","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101118","8,829.00",".00","  .00%",".00",".00","8,829.00","NET 30","AF","11/13/2013","W","PB","26","1 to 30"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29024-1","BN0001","663369","","","101118","G277","","Shipped","11/13/13","CALL TO ROUTE","  1308","  1308","","8,829.00","    .00",".00","","","","NY","","",
"49","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101119","600.75",".00","  .00%",".00",".00","600.75","NET 30","AF","11/13/2013","W","PB","26","1 to 30"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29026-1","BN0001","663369","","","101119","G277","","Shipped","11/13/13","CALL TO ROUTE","    89","    89","","600.75","    .00",".00","","","","NY","","",
"50","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101120","229.50",".00","  .00%",".00",".00","229.50","NET 30","AF","11/13/2013","W","PB","26","1 to 30"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29028","BN0001","663369","","","101120","G277","","Shipped","11/13/13","CALL TO ROUTE","    34","    34","","229.50","    .00",".00","","","","NY","","",
"51","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101121","36,281.25",".00","  .00%",".00",".00","36,281.25","NET 30","AF","11/13/2013","W","PB","26","1 to 30"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29028-1","BN0001","663369","","","101121","G277","","Shipped","11/13/13","CALL TO ROUTE","  5375","  5375","","36,281.25","    .00",".00","","","","NY","","",
"52","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101070","19,448.00",".00","  .00%",".00",".00","19,448.00","NET 30","AF","11/15/2013","W","PB","24","1 to 30"," 30","12/15/2013","","11/13","","","","","","000110","12/03/2013","","","No collection Info","E 29050","BN0001","663371","","","101070","G272","","Shipped","11/15/13","CALL TO ROUTE","  2992","  2992","154493","19,448.00","    .00",".00","","","","NY","","",
"53","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101114","12,690.00",".00","  .00%",".00",".00","12,690.00","NET 30","AF","11/20/2013","W","PB","19","1 to 30"," 30","12/20/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29020-1","BN0001","663369","","","101114","G277","","Shipped","11/13/13","CALL TO ROUTE","  1880","  1880","","12,690.00","    .00",".00","","","","NY","","",
"54","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101122","357.95","54.20","  .00%",".00",".00","357.95","NET 30","AF","11/21/2013","W","PB","18","1 to 30"," 30","12/21/2013","","11/13","","","","","","000110","12/03/2013","","","No collection Info","E 29026","BN0001","663369","","","101122","G286","","Shipped","11/21/13","VENDOR PORTAL","    45","    45","1Z1VV5130340301","357.95","  54.20",".00","","","","NY","","",
"55","Open","CE0001","CENTURY 21 DEPT STOR","Invoice","100145","720.00",".00","  .00%",".00",".00","720.00","NET 30","AF","09/18/2013","W","PB","82","61 to 90"," 30","10/18/2013","","08/13","","","","","","000035","09/18/2013","","","No collection Info","226784","CE0001","108441","","","100145","G17","","Shipped","09/18/13","","    96","    16","134741","720.00","    .00",".00","","","","NJ","","",
"56","Open","CE0001","CENTURY 21 DEPT STOR","Invoice","100171","1,260.00",".00","  .00%",".00",".00","1,260.00","NET 30","AF","09/18/2013","W","PB","82","61 to 90"," 30","10/18/2013","","08/13","","","","","","000035","09/18/2013","","","No collection Info","226784","CE0001","108441","","","100171","G17","","Shipped","09/18/13","","   168","    28","134741","1,260.00","    .00",".00","","","","NJ","","",
"57","Open","CE0001","CENTURY 21 DEPT STOR","Invoice","100277","360.00",".00","  .00%",".00",".00","360.00","NET 30","AF","09/23/2013","W","PB","77","61 to 90"," 30","10/23/2013","","08/13","","","","","","000054","10/04/2013","","","No collection Info","226784","CE0001","108441","","","100277","G77","","Shipped","09/23/13","SEEROUTINGGUIDE","    48","     8","136987","360.00","    .00",".00","","","","NJ","","",
"58","Open","CE0001","CENTURY 21 DEPT STOR","Invoice","100571","828.00",".00","  .00%",".00",".00","828.00","NET 30","AF","10/09/2013","W","PB","61","61 to 90"," 30","11/08/2013","","08/13","","","","","","000061","10/14/2013","","","No collection Info","222771","CE0001","214457","","","100571","G137","","Shipped","10/09/13","CALL TO ROUTE","    72","     6","140517","828.00","    .00",".00","","","","NJ","","",
"59","Open","CE0001","CENTURY 21 DEPT STOR","Invoice","100955","828.00",".00","  .00%",".00",".00","828.00","NET 30","AF","10/25/2013","W","PB","45","31 to 60"," 30","11/24/2013","","10/13","","","","","","000082","11/04/2013","","","No collection Info","222771","CE0001","214457","","","100955","G234","","Shipped","10/25/13","SEEROUTINGGUIDE","    72","     6","151719","828.00","    .00",".00","","","","NJ","","",
"60","Open","CL0001","CAROLINA CASH CO., I","Invoice","101081","2,574.44","220.40","  .00%",".00",".00","2,574.44","NET 30","EE","11/19/2013","W","PB","20","1 to 30"," 30","12/19/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","101913","CL0001","676817","","","101081","G274","","Shipped","11/14/13","UCL","   276","    36","156236","2,574.44"," 220.40",".00","","","","SC","","",
"61","Open","CO0001","CONSOLIDATED CLOTHIE","Invoice","100962","2,736.00",".00","  .00%",".00",".00","2,736.00","NET 30","EE","11/01/2013","W","PB","38","31 to 60"," 30","12/01/2013","","10/13","","","","","","000109","12/03/2013","","","No collection Info","ABS81313-BB","CO0002","313476","","","100962","G239","","Shipped","11/01/13","CALL TO ROUTE","   456","    76","410-9476610-2","2,736.00","    .00",".00","","","","TX","","",
"62","Open","DD0001","DD DISCOUNTS","Invoice","100278","2,280.00",".00","  .00%",".00",".00","2,280.00","NET 60","AF","09/26/2013","W","PB","44","31 to 60"," 60","11/25/2013","","08/13","","","","","","000049","09/27/2013","","","No collection Info","7961983","DD001","214365","","","100278","G63","","Shipped","09/26/13","call to route","   480","    40","136988","2,280.00","    .00",".00","","","","CA","","",
"63","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100106","6,720.00",".00","  .00%",".00",".00","6,720.00","NET 75","DS","09/10/2013","W","PB","45","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","F0PV7R","000519","APRVD JM","","","100106","G-091013","","Shipped","09/10/13","","  1920","    40","","6,720.00","    .00",".00","","","","KY","","",
"64","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100109","7,560.00",".00","  .00%",".00",".00","7,560.00","NET 75","DS","09/10/2013","W","PB","45","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","F0PV7W","000522","APRV JM","","","100109","G-091013","","Shipped","09/10/13","","  2160","    45","","7,560.00","    .00",".00","","","","MS","","",
"65","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100110","12,600.00",".00","  .00%",".00",".00","12,600.00","NET 75","DS","09/10/2013","W","PB","45","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","F0PV7X","000524","APRVD JM","","","100110","G-091013","","Shipped","09/10/13","","  3600","    75","","12,600.00","    .00",".00","","","","MO","","",
"66","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100111","7,392.00",".00","  .00%",".00",".00","7,392.00","NET 75","DS","09/10/2013","W","PB","45","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","F0PV7Y","000525","APRVD JM","","","100111","G-091013","","Shipped","09/10/13","","  2112","    44","","7,392.00","    .00",".00","","","","FL","","",
"67","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100112","21,840.00",".00","  .00%",".00",".00","21,840.00","NET 75","DS","09/10/2013","W","PB","45","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","F0PV80","000526","APRVD JM","","","100112","G-091013","","Shipped","09/10/13","","  6240","   130","","21,840.00","    .00",".00","","","","OH","","",
