"Seq","Status","Account No.","Name","Type","Reference","Amount*","Freight*","Disc%","Discount*","Other*","Balance*","Terms","Salesperson","Date","Factor","Division","Aging","Past Due Status","Due Days","Due Date","Charge Back No.","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Assign. No.","Assign. Date","Reason","Description","Collection","Cust PO","Ship-To","Approval","Cust ChgBack No.","Remarks","Trail","Manifest","Rank","TS Status","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"12","Open","AL0001","ALCO STORES","Invoice","101060","51,192.00",".00","  .00%",".00",".00","51,192.00","NET 60","AF","11/14/2013","W","PB","43","31 to 60"," 60","01/14/2014","","11/13","","","","","","000101","11/19/2013","","","No collection Info","804050","001688","509157","","","101060","G271","","Shipped","11/14/13","UPS COLLECT","  5688","   948","153895","51,192.00","    .00",".00","","","","","","",
"13","Open","AS0001","AS COOPER AND SONS","Invoice","100047","208.68","28.68","  .00%",".00",".00","208.68","NET 30","MC","09/05/2013","W","PB","144","121 to 150"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33962","001419","117285","","","100047","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    24","     2","","208.68","  28.68",".00","","","","NJ","1","",
"14","Open","AS0001","AS COOPER AND SONS","Invoice","100048","196.68","28.68","  .00%",".00",".00","196.68","NET 30","MC","09/05/2013","W","PB","144","121 to 150"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33969","001419","117285","","","100048","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    24","     2","","196.68","  28.68",".00","","","","NJ","1","",
"15","Open","AS0001","AS COOPER AND SONS","Invoice","100097","236.16",".00","  .00%",".00",".00","236.16","NET 30","MC","09/05/2013","W","PB","144","121 to 150"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33958","001419","117285","","","100097","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    36","     3","","236.16","    .00",".00","","","","NJ","1","",
"16","Open","AS0001","AS COOPER AND SONS","Invoice","100166","191.40","29.40","  .00%",".00",".00","191.40","NET 30","MC","09/05/2013","W","PB","144","121 to 150"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33959","001419","117285","","","100166","","","Shipped","09/05/13","UPSN-UNITED PAR","    24","     2","","191.40","  29.40",".00","","","","NJ","1","",
"17","Open","AS0001","AS COOPER AND SONS","Invoice","100167","313.16","43.16","  .00%",".00",".00","313.16","NET 30","MC","09/05/2013","W","PB","144","121 to 150"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33960","001419","117285","","","100167","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    36","     3","","313.16","  43.16",".00","","","","NJ","1","",
"18","Open","AS0001","AS COOPER AND SONS","Invoice","100168","78.56","13.76","  .00%",".00",".00","78.56","NET 30","MC","09/05/2013","W","PB","144","121 to 150"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33965","001419","117285","","","100168","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    12","     1","","78.56","  13.76",".00","","","","NJ","1","",
"19","Open","AS0001","AS COOPER AND SONS","Invoice","100169","85.76","13.76","  .00%",".00",".00","85.76","NET 30","MC","09/05/2013","W","PB","144","121 to 150"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33966","001419","117285","","","100169","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    12","     1","","85.76","  13.76",".00","","","","NJ","1","",
"20","Open","AZ0001","AMAZON.COM","Invoice","100093","10,535.00",".00","  .00%",".00",".00","10,535.00","NET 60","EE","08/09/2013","W","PB","141","121 to 150"," 60","10/08/2013","","08/13","","","","","","","","","","No collection Info","Z9940408","000020","NONE","","","100093","G38","","Shipped","08/09/13","VENDOR PORTAL","   770","    71","127228","10,535.00","    .00",".00","","","","KY","CVG1","0",
"21","Open","AZ0001","AMAZON.COM","Invoice","100715","6,120.00",".00","  .00%",".00",".00","6,120.00","","EE","10/18/2013","W","PB","71","61 to 90"," 60","12/17/2013","","08/13","","","","","","","","","","No collection Info","W4598412","AMZBLK","","","","100715","G181","","Shipped","10/18/13","VENDOR PORTAL","   612","    51","","6,120.00","    .00",".00","","465588","","KY","CVG1","0",
"22","Open","AZ0001","AMAZON.COM","Invoice","100791","8,610.00",".00","  .00%",".00",".00","8,610.00","","EE","10/30/2013","W","PB","59","31 to 60"," 60","12/29/2013","","10/13","","","","","","","","","","No collection Info","V2715346","AZOHFC","356298","","","100791","D237","","Shipped","10/30/13","VENDOR PORTAL","   540","    45","150879","8,610.00","    .00",".00","","","","KY","CVG1","0",
"23","Open","AZ0001","AMAZON.COM","Invoice","101004","20,088.00",".00","  .00%",".00",".00","20,088.00","","EE","11/04/2013","W","PB","53","31 to 60"," 60","01/04/2014","","10/13","","","","","","","","","","No collection Info","V4908364","000020","","","","101004","G243","","Shipped","11/01/13","VENDOR PORTAL","  1188","   135","152803","20,088.00","    .00",".00","","","","KY","CVG1","0",
"24","Open","AZ0001","AMAZON.COM","Invoice","100790","26,424.00",".00","  .00%",".00",".00","26,424.00","","EE","11/15/2013","W","PB","42","31 to 60"," 60","01/15/2014","","10/13","","","","","","","","","","No collection Info","V8439894","AMZBLK","","","","100790","G273","","Shipped","11/15/13","VENDOR PORTAL","  1536","   128","","26,424.00","    .00",".00","","150878","","KY","CVG1","CVG1",
"25","Open","AZ0001","AMAZON.COM","Invoice","101353","10,980.00",".00","  .00%",".00",".00","10,980.00","NET 60","EE","01/02/2014","W","PB","","Current"," 60","03/03/2014","","12/13","","","","","","000130","01/06/2014","","","No collection Info","X0477824","AMZBLK","593374","","","101353","G333","","Shipped","01/02/14","VENDOR PORTAL","  1464","   122","170656","10,980.00","    .00",".00","","","","KY","CVG1","0",
"26","Open","AZ0001","AMAZON.COM","Invoice","101354","6,857.28",".00","  .00%",".00",".00","6,857.28","NET 60","EE","01/02/2014","W","PB","","Current"," 60","03/03/2014","","12/13","","","","","","000130","01/06/2014","","","No collection Info","X3333154","AMZBLK","820764","","","101354","G333","","Shipped","01/02/14","VENDOR PORTAL","   972","    81","170656","6,857.28","    .00",".00","","","","KY","CVG1","CVG1",
"27","Open","AZ0001","AMAZON.COM","Invoice","101355","11,054.40",".00","  .00%",".00",".00","11,054.40","NET 60","EE","01/02/2014","W","PB","","Current"," 60","03/03/2014","","12/13","","","","","","000130","01/06/2014","","","No collection Info","Z0008780","AMZBLK","825141","","","101355","G333","","Shipped","01/02/14","VENDOR PORTAL","  1032","    86","170656","11,054.40","    .00",".00","","","","KY","CVG1","0",
"28","Open","BB0001","BIG AL'S DEPARTMENT","Invoice","101489","127.80",".00"," 1.00%","1.28",".00","127.80","1% 10 EOM + 30","EE","02/20/2014","W","PB","","Current","  0","03/10/2014","","01/14","","","","","","000178","02/24/2014","","","No collection Info","608727","BB0001","781638","","","101489","G395","","Shipped","02/20/14","WRAGTIME","    24","     2","02-1168865","127.80","    .00",".00","","","","NY","001","05",
"29","Open","BD0001","BAMBI DE HUMACAO INC","Invoice","101406","676.80","120.00","  .00%",".00",".00","676.80","NET 30","BB","01/29/2014","W","PB","","Current"," 30","02/28/2014","","01/14","","","","","","000143","01/30/2014","","","No collection Info","5105","BD0001","530465","","","101406","G358","","Shipped","01/29/14","CALL TO ROUTE","    96","     8","173608","676.80"," 120.00",".00","","","","PR","","",
"30","Open","BE0001","BERGEN KIDS LLC #32","Invoice","101174","131.58","47.58","  .00%",".00",".00","131.58","NET 10 EOM + 30","EE","12/09/2013","W","PB","27","1 to 30"," 20","01/30/2014","","12/13","","","","","","000116","12/17/2013","","","No collection Info","16879","BE0001","783667","","","101174","G303","","Shipped","12/09/13","CALL TO ROUTE","    24","     2","MULTI","131.58","  47.58",".00","","","","NJ","","",
"31","Open","BI0001","BIG LOTS STORES INC","Invoice","100220","6,208.32",".00","  .00%",".00",".00","6,208.32","NET 60","JB","10/03/2013","W","PB","86","61 to 90"," 60","12/02/2013","","08/13","","","","","","000059","10/09/2013","","","No collection Info","83365258","001690","214462","","","100220","G99","","Shipped","10/03/13","CALL TO ROUTE","  2784","   232","135418","6,208.32","    .00",".00","","","","AL","00870","870",
"32","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101071","2,496.00",".00","  .00%",".00",".00","2,496.00","NET 30","JB","11/05/2013","W","PB","83","61 to 90"," 30","12/05/2013","","11/13","","","","","","000092","11/11/2013","","","No collection Info","124787","BN0001","215375","","SHIPPED ON 07/19. GCT REF # 125397.","101071","G00","","Shipped","08/20/13","CALL TO ROUTE","   624","    52","","2,496.00","    .00",".00","","","","NY","","",
"33","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101111","5,217.75",".00","  .00%",".00",".00","5,217.75","NET 30","AF","11/13/2013","W","PB","75","61 to 90"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29018","BN0001","663369","","","101111","G277","","Shipped","11/13/13","CALL TO ROUTE","   773","   773","","5,217.75","    .00",".00","","","","NY","","",
"34","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101112","22,349.25",".00","  .00%",".00",".00","22,349.25","NET 30","AF","11/13/2013","W","PB","75","61 to 90"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29018-1","BN0001","663369","","","101112","G277","","Shipped","11/13/13","CALL TO ROUTE","  3311","  3311","","22,349.25","    .00",".00","","","","NY","","",
"35","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101113","2,902.50",".00","  .00%",".00",".00","2,902.50","NET 30","AF","11/13/2013","W","PB","75","61 to 90"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29020","BN0001","663369","","","101113","G277","","Shipped","11/13/13","CALL TO ROUTE","   430","   430","","2,902.50","    .00",".00","","","","NY","","",
"36","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101115","6,567.75",".00","  .00%",".00",".00","6,567.75","NET 30","AF","11/13/2013","W","PB","75","61 to 90"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29022","BN0001","663369","","","101115","G277","","Shipped","11/13/13","CALL TO ROUTE","   973","   973","","6,567.75","    .00",".00","","","","NY","","",
"37","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101116","34,539.75",".00","  .00%",".00",".00","34,539.75","NET 30","AF","11/13/2013","W","PB","75","61 to 90"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29022-1","BN0001","663369","","","101116","G277","","Shipped","11/13/13","CALL TO ROUTE","  5117","  5117","","34,539.75","    .00",".00","","","","NY","","",
"38","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101117","4,569.75",".00","  .00%",".00",".00","4,569.75","NET 30","AF","11/13/2013","W","PB","75","61 to 90"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29024","BN0001","663369","","","101117","G277","","Shipped","11/13/13","CALL TO ROUTE","   677","   677","","4,569.75","    .00",".00","","","","NY","","",
"39","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101118","8,829.00",".00","  .00%",".00",".00","8,829.00","NET 30","AF","11/13/2013","W","PB","75","61 to 90"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29024-1","BN0001","663369","","","101118","G277","","Shipped","11/13/13","CALL TO ROUTE","  1308","  1308","","8,829.00","    .00",".00","","","","NY","","",
"40","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101119","600.75",".00","  .00%",".00",".00","600.75","NET 30","AF","11/13/2013","W","PB","75","61 to 90"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29026-1","BN0001","663369","","","101119","G277","","Shipped","11/13/13","CALL TO ROUTE","    89","    89","","600.75","    .00",".00","","","","NY","","",
"41","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101120","229.50",".00","  .00%",".00",".00","229.50","NET 30","AF","11/13/2013","W","PB","75","61 to 90"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29028","BN0001","663369","","","101120","G277","","Shipped","11/13/13","CALL TO ROUTE","    34","    34","","229.50","    .00",".00","","","","NY","","",
"42","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101121","36,281.25",".00","  .00%",".00",".00","36,281.25","NET 30","AF","11/13/2013","W","PB","75","61 to 90"," 30","12/13/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29028-1","BN0001","663369","","","101121","G277","","Shipped","11/13/13","CALL TO ROUTE","  5375","  5375","","36,281.25","    .00",".00","","","","NY","","",
"43","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101070","19,448.00",".00","  .00%",".00",".00","19,448.00","NET 30","AF","11/15/2013","W","PB","73","61 to 90"," 30","12/15/2013","","11/13","","","","","","000110","12/03/2013","","","No collection Info","E 29050","BN0001","663371","","","101070","G272","","Shipped","11/15/13","CALL TO ROUTE","  2992","  2992","154493","19,448.00","    .00",".00","","","","NY","","",
"44","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101114","12,690.00",".00","  .00%",".00",".00","12,690.00","NET 30","AF","11/20/2013","W","PB","68","61 to 90"," 30","12/20/2013","","11/13","","","","","","000102","11/20/2013","","","No collection Info","E 29020-1","BN0001","663369","","","101114","G277","","Shipped","11/13/13","CALL TO ROUTE","  1880","  1880","","12,690.00","    .00",".00","","","","NY","","",
"45","Open","BN0001","BEN ELIAS INDUSTRIES","Invoice","101122","357.95","54.20","  .00%",".00",".00","357.95","NET 30","AF","11/21/2013","W","PB","67","61 to 90"," 30","12/21/2013","","11/13","","","","","","000110","12/03/2013","","","No collection Info","E 29026","BN0001","663369","","","101122","G286","","Shipped","11/21/13","VENDOR PORTAL","    45","    45","1Z1VV5130340301","357.95","  54.20",".00","","","","NY","","",
"46","Open","BS0001","BOSCOVS","Invoice","101268","210.00",".00","  .00%",".00",".00","210.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","000434","813035","","","101268","G323","","Shipped","12/26/13","GREAT CENTRAL T","    60","     5","168746","210.00","    .00",".00","000024","","","PA","00014","00015",
"47","Open","BS0001","BOSCOVS","Invoice","101269","210.00",".00","  .00%",".00",".00","210.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002530","813035","","","101269","G323","","Shipped","12/26/13","GREAT CENTRAL T","    60","     5","168746","210.00","    .00",".00","000024","","","PA","00003","00015",
"48","Open","BS0001","BOSCOVS","Invoice","101270","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002532","813035","","","101270","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00005","00015",
"49","Open","BS0001","BOSCOVS","Invoice","101271","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002533","813035","","","101271","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00006","00015",
"50","Open","BS0001","BOSCOVS","Invoice","101272","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002534","813035","","","101272","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00007","00015",
"51","Open","BS0001","BOSCOVS","Invoice","101273","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002535","813035","","","101273","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00008","00015",
"52","Open","BS0001","BOSCOVS","Invoice","101274","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002536","813035","","","101274","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00009","00015",
"53","Open","BS0001","BOSCOVS","Invoice","101275","210.00",".00","  .00%",".00",".00","210.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002537","813035","","","101275","G323","","Shipped","12/26/13","GREAT CENTRAL T","    60","     5","168746","210.00","    .00",".00","000024","","","DE","00010","00015",
"54","Open","BS0001","BOSCOVS","Invoice","101276","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002539","813035","","","101276","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00012","00015",
"55","Open","BS0001","BOSCOVS","Invoice","101277","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002541","813035","","","101277","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","DE","00016","00015",
"56","Open","BS0001","BOSCOVS","Invoice","101278","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002543","813035","","","101278","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NJ","00018","00015",
"57","Open","BS0001","BOSCOVS","Invoice","101279","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002544","813035","","","101279","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00019","00015",
"58","Open","BS0001","BOSCOVS","Invoice","101280","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002545","813035","","","101280","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00028","00015",
"59","Open","BS0001","BOSCOVS","Invoice","101281","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002547","813035","","","101281","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NJ","00033","00015",
"60","Open","BS0001","BOSCOVS","Invoice","101282","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002548","813035","","","101282","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NJ","00041","00015",
"61","Open","BS0001","BOSCOVS","Invoice","101283","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002549","813035","","","101283","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","MD","00042","00015",
"62","Open","BS0001","BOSCOVS","Invoice","101284","210.00",".00","  .00%",".00",".00","210.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002550","813035","","","101284","G323","","Shipped","12/26/13","GREAT CENTRAL T","    60","     5","168746","210.00","    .00",".00","000024","","","OH","00043","00015",
"63","Open","BS0001","BOSCOVS","Invoice","101285","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002551","813035","","","101285","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","MD","00050","00015",
"64","Open","BS0001","BOSCOVS","Invoice","101286","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002552","813035","","","101286","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00051","00015",
"65","Open","BS0001","BOSCOVS","Invoice","101287","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000123","12/26/2013","","","No collection Info","690135","002553","813035","","","101287","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00052","00015",
"66","Open","BS0001","BOSCOVS","Invoice","101288","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000124","12/26/2013","","","No collection Info","690135","002554","813035","","","101288","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NJ","00053","00015",
"67","Open","BS0001","BOSCOVS","Invoice","101289","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000124","12/26/2013","","","No collection Info","690135","002555","813035","","","101289","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NJ","00059","00015",
"68","Open","BS0001","BOSCOVS","Invoice","101290","336.00",".00","  .00%",".00",".00","336.00","NET 30","AF","12/26/2013","W","PB","31","1 to 30"," 30","01/26/2014","","12/13","","","","","","000124","12/26/2013","","","No collection Info","690135","002556","813035","","","101290","G323","","Shipped","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00060","00015",
